Date,JUBLFOOD
2017-01-02,859.9
2017-01-03,867.65
2017-01-04,862.35
2017-01-05,861.05
2017-01-06,839.05
2017-01-09,825.0
2017-01-10,832.45
2017-01-11,845.95
2017-01-12,842.85
2017-01-13,842.65
2017-01-16,832.85
2017-01-17,832.6
2017-01-18,881.45
2017-01-19,887.0
2017-01-20,846.45
2017-01-23,843.7
2017-01-24,839.5
2017-01-25,854.05
2017-01-27,878.7
2017-01-30,864.45
2017-01-31,876.15
2017-02-01,883.35
2017-02-02,923.65
2017-02-03,921.6
2017-02-06,1007.35
2017-02-07,999.8
2017-02-08,992.2
2017-02-09,1001.1
2017-02-10,993.9
2017-02-13,1011.8
2017-02-14,988.4
2017-02-15,971.75
2017-02-16,977.05
2017-02-17,992.75
2017-02-20,993.75
2017-02-21,998.55
2017-02-22,1009.95
2017-02-23,1006.0
2017-02-27,998.0
2017-02-28,1010.75
2017-03-01,1002.35
2017-03-02,1031.1
2017-03-03,1056.05
2017-03-06,1063.7
2017-03-07,1058.3
2017-03-08,1056.65
2017-03-09,1055.9
2017-03-10,1073.6
2017-03-14,1098.1
2017-03-15,1099.75
2017-03-16,1111.7
2017-03-17,1105.75
2017-03-20,1116.8
2017-03-21,1093.15
2017-03-22,1078.8
2017-03-23,1088.95
2017-03-24,1081.45
2017-03-27,1104.05
2017-03-28,1099.8
2017-03-29,1101.75
2017-03-30,1117.45
2017-03-31,1107.35
2017-04-03,1102.7
2017-04-05,1095.25
2017-04-06,1053.9
2017-04-07,1040.0
2017-04-10,1029.0
2017-04-11,1028.4
2017-04-12,1019.15
2017-04-13,1012.75
2017-04-17,988.1
2017-04-18,1008.15
2017-04-19,1013.25
2017-04-20,1028.4
2017-04-21,1030.8
2017-04-24,1050.1
2017-04-25,1067.45
2017-04-26,1049.55
2017-04-27,1029.65
2017-04-28,1042.15
2017-05-02,1044.2
2017-05-03,1057.95
2017-05-04,1035.8
2017-05-05,1027.7
2017-05-08,1009.85
2017-05-09,991.7
2017-05-10,974.6
2017-05-11,990.2
2017-05-12,986.35
2017-05-15,1025.45
2017-05-16,1050.65
2017-05-17,1049.05
2017-05-18,1019.35
2017-05-19,1018.1
2017-05-22,1030.3
2017-05-23,993.15
2017-05-24,976.45
2017-05-25,1014.95
2017-05-26,992.7
2017-05-29,940.35
2017-05-30,909.15
2017-05-31,914.9
2017-06-01,912.25
2017-06-02,930.85
2017-06-05,936.05
2017-06-06,952.55
2017-06-07,955.2
2017-06-08,963.8
2017-06-09,969.1
2017-06-12,959.55
2017-06-13,970.05
2017-06-14,962.6
2017-06-15,959.25
2017-06-16,938.2
2017-06-19,924.65
2017-06-20,924.0
2017-06-21,926.2
2017-06-22,913.25
2017-06-23,922.95
2017-06-27,929.0
2017-06-28,938.0
2017-06-29,952.1
2017-06-30,946.4
2017-07-03,999.25
2017-07-04,1025.45
2017-07-05,1048.95
2017-07-06,1077.85
2017-07-07,1093.35
2017-07-10,1112.0
2017-07-11,1090.75
2017-07-12,1106.1
2017-07-13,1111.5
2017-07-14,1164.6
2017-07-17,1272.7
2017-07-18,1325.1
2017-07-19,1290.0
2017-07-20,1298.1
2017-07-21,1254.0
2017-07-24,1252.2
2017-07-25,1296.35
2017-07-26,1282.85
2017-07-27,1278.45
2017-07-28,1312.6
2017-07-31,1317.75
2017-08-01,1293.95
2017-08-02,1280.75
2017-08-03,1254.8
2017-08-04,1279.3
2017-08-07,1264.55
2017-08-08,1330.8
2017-08-09,1299.2
2017-08-10,1317.95
2017-08-11,1296.6
2017-08-14,1370.7
2017-08-16,1392.9
2017-08-17,1399.4
2017-08-18,1394.55
2017-08-21,1383.6
2017-08-22,1357.1
2017-08-23,1380.3
2017-08-24,1393.55
2017-08-28,1382.5
2017-08-29,1344.85
2017-08-30,1366.05
2017-08-31,1394.5
2017-09-01,1403.1
2017-09-04,1379.9
2017-09-05,1378.85
2017-09-06,1391.3
2017-09-07,1389.0
2017-09-08,1384.5
2017-09-11,1452.0
2017-09-12,1424.8
2017-09-13,1323.35
2017-09-14,1373.45
2017-09-15,1359.15
2017-09-18,1423.2
2017-09-19,1396.05
2017-09-20,1405.4
2017-09-21,1392.55
2017-09-22,1380.2
2017-09-25,1380.95
2017-09-26,1392.8
2017-09-27,1355.9
2017-09-28,1375.85
2017-09-29,1390.95
2017-10-03,1416.05
2017-10-04,1407.45
2017-10-05,1482.35
2017-10-06,1543.4
2017-10-09,1497.9
2017-10-10,1526.2
2017-10-11,1490.25
2017-10-12,1501.8
2017-10-13,1515.55
2017-10-16,1551.65
2017-10-17,1582.5
2017-10-18,1532.95
2017-10-19,1529.7
2017-10-23,1548.2
2017-10-24,1609.85
2017-10-25,1604.8
2017-10-26,1642.65
2017-10-27,1622.3
2017-10-30,1620.15
2017-10-31,1632.65
2017-11-01,1626.5
2017-11-02,1617.75
2017-11-03,1611.3
2017-11-06,1615.65
2017-11-07,1599.3
2017-11-08,1614.25
2017-11-09,1649.35
2017-11-10,1661.8
2017-11-13,1699.4
2017-11-14,1700.55
2017-11-15,1712.75
2017-11-16,1774.6
2017-11-17,1761.1
2017-11-20,1745.85
2017-11-21,1731.45
2017-11-22,1726.6
2017-11-23,1716.7
2017-11-24,1803.3
2017-11-27,1799.8
2017-11-28,1794.65
2017-11-29,1789.8
2017-11-30,1775.2
2017-12-01,1752.7
2017-12-04,1732.3
2017-12-05,1743.75
2017-12-06,1705.6
2017-12-07,1650.55
2017-12-08,1661.1
2017-12-11,1677.1
2017-12-12,1719.05
2017-12-13,1701.45
2017-12-14,1694.0
2017-12-15,1720.2
2017-12-18,1745.95
2017-12-19,1763.2
2017-12-20,1781.45
2017-12-21,1774.1
2017-12-22,1764.8
2017-12-26,1782.1
2017-12-27,1724.15
2017-12-28,1709.75
2017-12-29,1761.1
