Date,LINDEINDIA
2017-01-02,352.25
2017-01-03,352.15
2017-01-04,355.05
2017-01-05,351.95
2017-01-06,349.75
2017-01-09,348.75
2017-01-10,357.05
2017-01-11,363.15
2017-01-12,356.0
2017-01-13,354.35
2017-01-16,353.5
2017-01-17,356.6
2017-01-18,362.1
2017-01-19,369.4
2017-01-20,360.4
2017-01-23,359.75
2017-01-24,359.9
2017-01-25,355.05
2017-01-27,359.85
2017-01-30,356.35
2017-01-31,356.6
2017-02-01,360.05
2017-02-02,358.7
2017-02-03,363.7
2017-02-06,390.5
2017-02-07,377.35
2017-02-08,386.45
2017-02-09,390.05
2017-02-10,386.8
2017-02-13,377.9
2017-02-14,372.6
2017-02-15,368.1
2017-02-16,373.45
2017-02-17,370.5
2017-02-20,371.3
2017-02-21,374.1
2017-02-22,371.2
2017-02-23,371.85
2017-02-27,365.55
2017-02-28,364.85
2017-03-01,372.0
2017-03-02,377.05
2017-03-03,376.9
2017-03-06,379.2
2017-03-07,378.7
2017-03-08,400.9
2017-03-09,413.55
2017-03-10,403.75
2017-03-14,396.45
2017-03-15,399.1
2017-03-16,392.85
2017-03-17,386.4
2017-03-20,387.05
2017-03-21,401.5
2017-03-22,391.4
2017-03-23,401.6
2017-03-24,403.85
2017-03-27,401.3
2017-03-28,403.0
2017-03-29,402.9
2017-03-30,397.45
2017-03-31,398.3
2017-04-03,398.0
2017-04-05,419.7
2017-04-06,430.25
2017-04-07,431.05
2017-04-10,467.8
2017-04-11,478.3
2017-04-12,468.2
2017-04-13,481.5
2017-04-17,474.3
2017-04-18,467.2
2017-04-19,472.5
2017-04-20,471.0
2017-04-21,470.35
2017-04-24,470.35
2017-04-25,467.55
2017-04-26,460.85
2017-04-27,459.55
2017-04-28,457.75
2017-05-02,455.9
2017-05-03,456.75
2017-05-04,455.55
2017-05-05,448.0
2017-05-08,444.9
2017-05-09,445.0
2017-05-10,450.85
2017-05-11,451.95
2017-05-12,449.95
2017-05-15,444.35
2017-05-16,447.95
2017-05-17,445.5
2017-05-18,439.6
2017-05-19,446.1
2017-05-22,445.15
2017-05-23,444.25
2017-05-24,437.15
2017-05-25,443.45
2017-05-26,438.65
2017-05-29,440.05
2017-05-30,440.85
2017-05-31,437.1
2017-06-01,438.3
2017-06-02,441.45
2017-06-05,437.0
2017-06-06,433.5
2017-06-07,433.95
2017-06-08,433.95
2017-06-09,436.15
2017-06-12,434.15
2017-06-13,433.25
2017-06-14,433.85
2017-06-15,433.3
2017-06-16,444.05
2017-06-19,435.2
2017-06-20,438.8
2017-06-21,439.55
2017-06-22,434.35
2017-06-23,430.45
2017-06-27,432.25
2017-06-28,424.6
2017-06-29,430.2
2017-06-30,430.6
2017-07-03,427.75
2017-07-04,430.35
2017-07-05,429.4
2017-07-06,445.0
2017-07-07,453.5
2017-07-10,453.65
2017-07-11,444.1
2017-07-12,444.4
2017-07-13,455.55
2017-07-14,454.0
2017-07-17,456.75
2017-07-18,454.05
2017-07-19,452.45
2017-07-20,448.3
2017-07-21,451.45
2017-07-24,437.3
2017-07-25,439.8
2017-07-26,448.3
2017-07-27,446.3
2017-07-28,441.8
2017-07-31,438.65
2017-08-01,444.45
2017-08-02,436.25
2017-08-03,428.85
2017-08-04,423.85
2017-08-07,426.3
2017-08-08,414.9
2017-08-09,418.3
2017-08-10,414.95
2017-08-11,411.75
2017-08-14,423.4
2017-08-16,417.85
2017-08-17,422.75
2017-08-18,412.0
2017-08-21,407.35
2017-08-22,410.5
2017-08-23,408.85
2017-08-24,406.45
2017-08-28,403.5
2017-08-29,409.2
2017-08-30,411.25
2017-08-31,410.7
2017-09-01,409.55
2017-09-04,409.75
2017-09-05,407.8
2017-09-06,404.0
2017-09-07,400.95
2017-09-08,402.45
2017-09-11,396.35
2017-09-12,408.3
2017-09-13,414.4
2017-09-14,404.6
2017-09-15,409.5
2017-09-18,405.45
2017-09-19,405.0
2017-09-20,391.75
2017-09-21,393.2
2017-09-22,389.9
2017-09-25,380.0
2017-09-26,387.95
2017-09-27,373.75
2017-09-28,378.85
2017-09-29,376.05
2017-10-03,376.8
2017-10-04,384.65
2017-10-05,384.9
2017-10-06,383.9
2017-10-09,384.95
2017-10-10,384.05
2017-10-11,380.9
2017-10-12,379.05
2017-10-13,380.0
2017-10-16,378.05
2017-10-17,376.35
2017-10-18,391.1
2017-10-19,396.75
2017-10-23,401.1
2017-10-24,403.55
2017-10-25,409.9
2017-10-26,419.7
2017-10-27,415.35
2017-10-30,424.1
2017-10-31,431.45
2017-11-01,429.15
2017-11-02,426.05
2017-11-03,425.6
2017-11-06,456.6
2017-11-07,455.4
2017-11-08,462.7
2017-11-09,464.55
2017-11-10,463.45
2017-11-13,464.35
2017-11-14,464.75
2017-11-15,472.9
2017-11-16,472.85
2017-11-17,509.1
2017-11-20,526.65
2017-11-21,524.4
2017-11-22,514.05
2017-11-23,513.55
2017-11-24,521.85
2017-11-27,518.3
2017-11-28,527.35
2017-11-29,527.85
2017-11-30,518.8
2017-12-01,518.1
2017-12-04,502.9
2017-12-05,496.15
2017-12-06,490.35
2017-12-07,483.2
2017-12-08,488.95
2017-12-11,490.15
2017-12-12,491.95
2017-12-13,485.9
2017-12-14,485.7
2017-12-15,485.55
2017-12-18,475.9
2017-12-19,472.6
2017-12-20,495.55
2017-12-21,522.1
2017-12-22,530.15
2017-12-26,527.05
2017-12-27,521.05
2017-12-28,516.4
2017-12-29,536.15
