Date,NIFTYBEES
2017-01-02,835.11
2017-01-03,836.12
2017-01-04,835.8
2017-01-05,843.9
2017-01-06,842.32
2017-01-09,841.29
2017-01-10,844.47
2017-01-11,854.3
2017-01-12,856.65
2017-01-13,856.01
2017-01-16,857.67
2017-01-17,855.6
2017-01-18,857.48
2017-01-19,859.51
2017-01-20,851.03
2017-01-23,854.57
2017-01-24,862.82
2017-01-25,874.59
2017-01-27,879.88
2017-01-30,879.4
2017-01-31,872.28
2017-02-01,887.28
2017-02-02,888.96
2017-02-03,889.93
2017-02-06,896.59
2017-02-07,893.72
2017-02-08,894.36
2017-02-09,894.56
2017-02-10,895.89
2017-02-13,897.0
2017-02-14,897.55
2017-02-15,890.41
2017-02-16,895.12
2017-02-17,899.5
2017-02-20,904.99
2017-02-21,907.16
2017-02-22,909.56
2017-02-23,911.31
2017-02-27,907.49
2017-02-28,906.65
2017-03-01,915.96
2017-03-02,910.72
2017-03-03,910.44
2017-03-06,915.56
2017-03-07,913.1
2017-03-08,910.79
2017-03-09,914.95
2017-03-10,914.5
2017-03-14,927.37
2017-03-15,926.98
2017-03-16,934.64
2017-03-17,934.35
2017-03-20,932.61
2017-03-21,933.05
2017-03-22,922.75
2017-03-23,930.01
2017-03-24,933.13
2017-03-27,926.0
2017-03-28,929.84
2017-03-29,932.36
2017-03-30,937.57
2017-03-31,938.27
2017-04-03,944.12
2017-04-05,945.33
2017-04-06,945.41
2017-04-07,939.65
2017-04-10,939.19
2017-04-11,943.44
2017-04-12,940.37
2017-04-13,935.06
2017-04-17,934.54
2017-04-18,929.58
2017-04-19,930.73
2017-04-20,933.59
2017-04-21,931.12
2017-04-24,941.48
2017-04-25,949.22
2017-04-26,954.08
2017-04-27,953.49
2017-04-28,949.88
2017-05-02,950.33
2017-05-03,950.44
2017-05-04,955.64
2017-05-05,949.02
2017-05-08,950.27
2017-05-09,951.12
2017-05-10,960.03
2017-05-11,961.13
2017-05-12,959.47
2017-05-15,963.05
2017-05-16,970.65
2017-05-17,972.12
2017-05-18,962.33
2017-05-19,962.53
2017-05-22,963.64
2017-05-23,958.01
2017-05-24,955.32
2017-05-25,970.46
2017-05-26,978.89
2017-05-29,980.29
2017-05-30,981.75
2017-05-31,982.22
2017-06-01,982.07
2017-06-02,986.33
2017-06-05,989.44
2017-06-06,985.5
2017-06-07,987.78
2017-06-08,987.38
2017-06-09,989.54
2017-06-12,983.25
2017-06-13,984.24
2017-06-14,983.71
2017-06-15,980.4
2017-06-16,980.52
2017-06-19,988.26
2017-06-20,988.77
2017-06-21,985.75
2017-06-22,985.0
2017-06-23,980.29
2017-06-27,973.47
2017-06-28,972.68
2017-06-29,973.55
2017-06-30,975.98
2017-07-03,984.21
2017-07-04,985.08
2017-07-05,987.86
2017-07-06,992.07
2017-07-07,990.09
2017-07-10,1000.18
2017-07-11,1003.84
2017-07-12,1005.54
2017-07-13,1014.25
2017-07-14,1012.44
2017-07-17,1016.88
2017-07-18,1010.11
2017-07-19,1016.32
2017-07-20,1014.73
2017-07-21,1017.73
2017-07-24,1023.86
