Date,SETFNIF50
2017-01-02,83.2
2017-01-03,83.46
2017-01-04,83.55
2017-01-05,84.39
2017-01-06,83.95
2017-01-09,84.05
2017-01-10,84.47
2017-01-11,85.31
2017-01-12,85.6
2017-01-13,85.5
2017-01-16,85.84
2017-01-17,85.61
2017-01-18,85.79
2017-01-19,85.95
2017-01-20,85.1
2017-01-23,85.2
2017-01-24,86.29
2017-01-25,87.53
2017-01-27,87.73
2017-01-30,87.7
2017-01-31,87.02
2017-02-01,88.37
2017-02-02,88.53
2017-02-03,88.85
2017-02-06,89.14
2017-02-07,88.75
2017-02-08,88.91
2017-02-09,89.38
2017-02-10,89.48
2017-02-13,89.4
2017-02-14,89.65
2017-02-15,88.9
2017-02-16,89.4
2017-02-17,89.53
2017-02-20,89.97
2017-02-21,90.3
2017-02-22,90.5
2017-02-23,90.94
2017-02-27,90.5
2017-02-28,90.49
2017-03-01,91.0
2017-03-02,90.9
2017-03-03,90.41
2017-03-06,91.02
2017-03-07,91.34
2017-03-08,90.84
2017-03-09,91.0
2017-03-10,91.0
2017-03-14,92.62
2017-03-15,92.69
2017-03-16,93.0
2017-03-17,92.8
2017-03-20,92.7
2017-03-21,92.75
2017-03-22,92.12
2017-03-23,91.64
2017-03-24,91.65
2017-03-27,91.4
2017-03-28,91.84
2017-03-29,91.45
2017-03-30,92.73
2017-03-31,92.52
2017-04-03,93.0
2017-04-05,93.42
2017-04-06,93.25
2017-04-07,92.69
2017-04-10,92.5
2017-04-11,93.0
2017-04-12,92.54
2017-04-13,92.39
2017-04-17,92.25
2017-04-18,91.93
2017-04-19,91.76
2017-04-20,91.99
2017-04-21,91.93
2017-04-24,92.95
2017-04-25,93.61
2017-04-26,93.96
2017-04-27,94.08
2017-04-28,93.85
2017-05-02,94.0
2017-05-03,94.04
2017-05-04,94.47
2017-05-05,93.65
2017-05-08,93.69
2017-05-09,93.66
2017-05-10,94.3
2017-05-11,94.69
2017-05-12,94.25
2017-05-15,95.12
2017-05-16,95.85
2017-05-17,95.61
2017-05-18,94.95
2017-05-19,94.81
2017-05-22,94.79
2017-05-23,94.48
2017-05-24,94.0
2017-05-25,95.29
2017-05-26,96.17
2017-05-29,96.77
2017-05-30,96.96
2017-05-31,96.96
2017-06-01,96.9
2017-06-02,97.0
2017-06-05,97.41
2017-06-06,97.3
2017-06-07,97.4
2017-06-08,97.44
2017-06-09,97.64
2017-06-12,97.56
2017-06-13,96.99
2017-06-14,97.26
2017-06-15,96.77
2017-06-16,96.89
2017-06-19,97.34
2017-06-20,97.37
2017-06-21,97.27
2017-06-22,97.15
2017-06-23,96.65
2017-06-27,96.06
2017-06-28,95.97
2017-06-29,96.3
2017-06-30,96.19
2017-07-03,97.31
2017-07-04,97.1
2017-07-05,97.57
2017-07-06,97.85
2017-07-07,97.56
2017-07-10,98.71
2017-07-11,99.0
2017-07-12,99.28
2017-07-13,100.3
2017-07-14,99.83
2017-07-17,100.07
2017-07-18,99.49
2017-07-19,99.96
2017-07-20,100.2
2017-07-21,100.28
2017-07-24,101.25
2017-07-25,101.36
2017-07-26,101.53
2017-07-27,101.92
2017-07-28,101.47
2017-07-31,102.11
2017-08-01,102.58
2017-08-02,102.18
2017-08-03,101.57
2017-08-04,102.0
2017-08-07,102.15
2017-08-08,101.24
2017-08-09,100.22
2017-08-10,99.5
2017-08-11,98.49
2017-08-14,99.58
2017-08-16,100.01
2017-08-17,100.68
2017-08-18,100.18
2017-08-21,99.05
2017-08-22,99.22
2017-08-23,99.62
2017-08-24,100.09
2017-08-28,100.32
2017-08-29,99.11
2017-08-30,100.13
2017-08-31,100.26
2017-09-01,101.2
2017-09-04,100.47
2017-09-05,101.1
2017-09-06,100.65
2017-09-07,100.95
2017-09-08,100.53
2017-09-11,101.78
2017-09-12,102.52
2017-09-13,102.31
2017-09-14,102.41
2017-09-15,102.5
2017-09-18,103.19
2017-09-19,103.1
2017-09-20,103.1
2017-09-21,102.7
2017-09-22,101.15
2017-09-25,100.16
2017-09-26,100.21
2017-09-27,99.53
2017-09-28,99.92
2017-09-29,99.5
2017-10-03,99.95
2017-10-04,100.88
2017-10-05,100.43
2017-10-06,101.33
2017-10-09,101.51
2017-10-10,101.74
2017-10-11,101.4
2017-10-12,102.56
2017-10-13,102.91
2017-10-16,103.32
2017-10-17,103.42
2017-10-18,103.25
2017-10-19,102.64
2017-10-23,103.33
2017-10-24,103.58
2017-10-25,104.2
2017-10-26,104.7
2017-10-27,104.9
2017-10-30,105.43
2017-10-31,105.3
2017-11-01,106.0
2017-11-02,105.96
2017-11-03,105.9
2017-11-06,105.89
2017-11-07,105.08
2017-11-08,104.44
2017-11-09,104.9
2017-11-10,104.77
2017-11-13,104.01
2017-11-14,103.54
2017-11-15,102.91
2017-11-16,104.3
2017-11-17,104.11
2017-11-20,104.4
2017-11-21,104.86
2017-11-22,105.1
2017-11-23,105.04
2017-11-24,105.48
2017-11-27,105.47
2017-11-28,105.18
2017-11-29,105.0
2017-11-30,104.02
2017-12-01,103.85
2017-12-04,102.98
2017-12-05,102.6
2017-12-06,102.35
2017-12-07,103.0
2017-12-08,104.44
2017-12-11,104.64
2017-12-12,104.0
2017-12-13,103.51
2017-12-14,104.0
2017-12-15,105.1
2017-12-18,105.28
2017-12-19,106.31
2017-12-20,105.99
2017-12-21,106.15
2017-12-22,106.26
2017-12-26,106.56
2017-12-27,106.1
2017-12-28,106.4
2017-12-29,106.55
