Date,SPMLINFRA
2017-01-02,54.7
2017-01-03,53.95
2017-01-04,55.2
2017-01-05,55.85
2017-01-06,55.8
2017-01-09,55.95
2017-01-10,55.5
2017-01-11,55.95
2017-01-12,55.5
2017-01-13,55.25
2017-01-16,61.05
2017-01-17,55.3
2017-01-18,55.95
2017-01-19,55.2
2017-01-20,54.0
2017-01-23,53.45
2017-01-24,52.3
2017-01-25,51.85
2017-01-27,50.0
2017-01-30,51.0
2017-01-31,50.3
2017-02-01,50.95
2017-02-02,50.85
2017-02-03,50.1
2017-02-06,50.15
2017-02-07,51.9
2017-02-08,57.95
2017-02-09,57.85
2017-02-10,57.05
2017-02-13,60.5
2017-02-14,60.0
2017-02-15,59.7
2017-02-16,62.85
2017-02-17,62.65
2017-02-20,63.0
2017-02-21,61.4
2017-02-22,60.45
2017-02-23,60.65
2017-02-27,58.75
2017-02-28,59.8
2017-03-01,60.1
2017-03-02,60.1
2017-03-03,59.15
2017-03-06,59.5
2017-03-07,59.0
2017-03-08,61.9
2017-03-09,60.35
2017-03-10,59.45
2017-03-14,59.4
2017-03-15,59.1
2017-03-16,59.35
2017-03-17,60.4
2017-03-20,60.2
2017-03-21,59.35
2017-03-22,60.6
2017-03-23,60.9
2017-03-24,60.95
2017-03-27,59.55
2017-03-28,59.0
2017-03-29,59.45
2017-03-30,60.75
2017-03-31,59.65
2017-04-03,62.55
2017-04-05,71.85
2017-04-06,73.9
2017-04-07,72.5
2017-04-10,76.35
2017-04-11,84.15
2017-04-12,86.15
2017-04-13,83.95
2017-04-17,88.25
2017-04-18,89.15
2017-04-19,95.9
2017-04-20,92.45
2017-04-21,90.85
2017-04-24,97.95
2017-04-25,100.5
2017-04-26,95.55
2017-05-30,113.15
2017-05-31,110.6
2017-06-01,108.75
2017-06-02,114.15
2017-06-05,117.3
2017-06-06,117.8
2017-06-07,124.5
2017-06-08,123.0
2017-06-09,122.2
2017-06-12,125.4
2017-06-13,125.1
2017-06-14,127.3
2017-06-15,123.9
2017-06-16,125.0
2017-06-19,125.55
2017-06-20,123.0
2017-06-21,129.2
2017-06-22,126.8
2017-06-23,126.45
2017-06-27,126.05
2017-06-28,126.3
2017-06-29,125.15
2017-06-30,133.75
2017-07-03,141.2
2017-07-04,141.8
2017-07-05,151.8
2017-07-06,164.05
2017-07-07,165.95
2017-07-10,163.35
2017-07-11,157.9
2017-07-12,155.9
2017-07-13,160.7
2017-07-14,155.9
2017-07-17,160.95
2017-07-18,167.0
2017-07-19,174.0
2017-07-20,172.9
2017-07-21,179.9
2017-07-24,176.6
2017-07-25,174.55
2017-07-26,175.1
2017-07-27,166.35
2017-07-28,161.6
2017-07-31,162.8
2017-08-01,168.0
2017-08-02,166.75
2017-08-03,164.05
2017-08-04,167.2
2017-08-07,169.25
2017-08-08,163.8
2017-08-09,165.5
2017-08-10,163.4
2017-08-11,160.7
2017-08-14,164.3
2017-08-16,161.75
2017-08-17,162.25
2017-08-18,161.25
2017-08-21,164.9
2017-08-22,165.0
2017-08-23,160.05
2017-08-24,161.5
2017-08-28,160.85
2017-08-29,152.55
2017-08-30,160.0
2017-08-31,160.3
2017-09-01,160.25
2017-09-04,160.4
2017-09-05,160.1
2017-09-06,160.05
2017-09-07,159.9
2017-09-08,159.8
2017-09-11,157.8
2017-09-12,159.2
2017-09-13,157.85
2017-09-14,153.85
2017-09-15,152.65
2017-09-18,153.9
2017-09-19,157.4
2017-09-20,164.25
2017-09-21,163.2
2017-09-22,155.3
2017-09-25,151.8
2017-09-26,146.65
2017-09-27,136.25
2017-09-28,138.3
2017-09-29,137.1
2017-10-03,150.3
2017-10-04,154.7
2017-10-05,160.05
2017-10-06,167.85
2017-10-09,174.8
2017-10-10,173.1
2017-10-11,171.05
2017-10-12,170.75
2017-10-13,169.1
2017-10-16,167.0
2017-10-17,167.5
2017-10-18,164.55
2017-10-19,162.4
2017-10-23,156.4
2017-10-24,155.4
2017-10-25,138.7
2017-10-26,131.5
2017-10-27,135.45
2017-10-30,137.1
2017-10-31,134.5
2017-11-01,134.05
2017-11-02,160.85
2017-11-03,171.65
2017-11-06,165.0
2017-11-07,156.75
2017-11-08,152.85
2017-11-09,158.65
2017-11-10,156.05
2017-11-13,155.65
2017-11-14,155.4
2017-11-15,150.15
2017-11-16,151.65
2017-11-17,152.8
2017-11-20,161.0
2017-11-21,158.2
2017-11-22,158.05
2017-11-23,158.1
2017-11-24,156.75
2017-11-27,156.65
2017-11-28,159.1
2017-11-29,152.8
2017-11-30,153.2
2017-12-01,156.8
2017-12-04,152.25
2017-12-05,155.1
2017-12-06,154.2
2017-12-07,155.9
2017-12-08,155.55
2017-12-11,151.3
2017-12-12,150.2
2017-12-13,149.65
2017-12-14,152.55
2017-12-15,151.75
2017-12-18,149.75
2017-12-19,157.05
2017-12-20,150.8
2017-12-21,149.25
2017-12-22,148.9
2017-12-26,150.25
2017-12-27,155.0
2017-12-28,153.2
2017-12-29,153.95
