Date,TIRUMALCHM
2017-01-02,772.25
2017-01-03,790.55
2017-01-04,775.85
2017-01-05,785.4
2017-01-06,770.9
2017-01-09,773.65
2017-01-10,771.5
2017-01-11,767.1
2017-01-12,754.0
2017-01-13,739.3
2017-01-16,749.45
2017-01-17,756.7
2017-01-18,745.0
2017-01-19,737.35
2017-01-20,739.3
2017-01-23,745.7
2017-01-24,782.95
2017-01-25,757.0
2017-01-27,784.2
2017-01-30,799.65
2017-01-31,784.1
2017-02-01,809.45
2017-02-02,797.35
2017-02-03,828.45
2017-02-06,869.85
2017-02-07,912.3
2017-02-08,909.25
2017-02-09,917.25
2017-02-10,891.6
2017-02-13,853.8
2017-02-14,856.6
2017-02-15,819.25
2017-02-16,829.65
2017-02-17,852.95
2017-02-20,884.05
2017-02-21,880.7
2017-02-22,861.05
2017-02-23,854.7
2017-02-27,844.5
2017-02-28,839.1
2017-03-01,857.15
2017-03-02,848.1
2017-03-03,841.7
2017-03-06,848.4
2017-03-07,868.2
2017-03-08,869.0
2017-03-09,870.15
2017-03-10,860.3
2017-03-14,868.65
2017-03-15,856.1
2017-03-16,889.8
2017-03-17,877.7
2017-03-20,872.6
2017-03-21,867.4
2017-03-22,862.65
2017-03-23,865.25
2017-03-24,858.35
2017-03-27,861.15
2017-03-28,877.75
2017-03-29,869.95
2017-03-30,907.4
2017-03-31,883.35
2017-04-03,893.1
2017-04-05,918.95
2017-04-06,908.45
2017-04-07,891.05
2017-04-10,891.75
2017-04-11,897.3
2017-04-12,893.0
2017-04-13,887.65
2017-04-17,883.1
2017-04-18,863.35
2017-04-19,863.4
2017-04-20,864.95
2017-04-21,877.35
2017-04-24,884.7
2017-04-25,877.85
2017-04-26,869.55
2017-04-27,860.7
2017-04-28,860.85
2017-05-02,889.15
2017-05-03,959.95
2017-05-04,992.15
2017-05-05,966.8
2017-05-08,969.85
2017-05-09,980.65
2017-05-10,973.2
2017-05-11,954.6
2017-05-12,950.15
2017-05-15,941.2
2017-05-16,946.4
2017-05-17,944.1
2017-05-18,923.9
2017-05-19,927.9
2017-05-22,877.15
2017-05-23,853.7
2017-05-24,853.05
2017-05-25,852.15
2017-05-26,854.85
2017-05-29,840.9
2017-05-30,849.45
2017-05-31,848.1
2017-06-01,859.9
2017-06-02,848.95
2017-06-05,863.35
2017-06-06,851.75
2017-06-07,846.25
2017-06-08,844.2
2017-06-09,852.6
2017-06-12,865.45
2017-06-13,867.1
2017-06-14,861.15
2017-06-15,849.95
2017-06-16,857.35
2017-06-19,852.8
2017-06-20,860.6
2017-06-21,849.2
2017-06-22,846.8
2017-06-23,830.4
2017-06-27,838.65
2017-06-28,839.05
2017-06-29,835.55
2017-06-30,832.1
2017-07-03,831.05
2017-07-04,867.6
2017-07-05,1009.2
2017-07-06,1017.0
2017-07-07,1032.85
2017-07-10,1019.1
2017-07-11,990.2
2017-07-12,1012.3
2017-07-13,995.55
2017-07-14,976.6
2017-07-17,1000.35
2017-07-18,985.55
2017-07-19,1011.45
2017-07-20,1021.95
2017-07-21,1060.7
2017-07-24,1139.3
2017-07-25,1108.15
2017-07-26,1110.25
2017-07-27,1095.0
2017-07-28,1093.65
2017-07-31,1235.5
2017-08-01,1248.3
2017-08-02,1286.05
2017-08-03,1249.2
2017-08-04,1248.75
2017-08-07,1240.4
2017-08-08,1197.3
2017-08-09,1174.85
2017-08-10,1143.85
2017-08-11,1120.9
2017-08-14,1152.6
2017-08-16,1161.05
2017-08-17,1169.15
2017-08-18,1165.05
2017-08-21,1202.8
2017-08-22,1225.55
2017-08-23,1236.4
2017-08-24,1231.05
2017-08-28,1220.5
2017-08-29,1195.65
2017-08-30,1218.4
2017-08-31,1238.4
2017-09-01,1327.8
2017-09-04,1428.65
2017-09-05,1463.4
2017-09-06,1466.0
2017-09-07,1427.1
2017-09-08,1393.2
2017-09-11,1375.05
2017-09-12,1499.75
2017-09-13,1469.9
2017-09-14,1469.4
2017-09-15,1546.0
2017-09-18,1560.95
2017-09-19,1577.05
2017-09-20,1662.55
2017-09-21,1662.2
2017-09-22,1566.05
2017-09-25,1462.2
2017-09-26,1505.75
2017-09-27,1470.55
2017-09-28,1461.0
2017-09-29,1475.4
2017-10-03,1480.6
2017-10-04,1537.5
2017-10-05,1594.25
2017-10-06,1592.35
2017-10-09,1623.8
2017-10-10,1625.5
2017-10-11,1644.2
2017-10-12,1806.7
2017-10-13,1866.5
2017-10-16,1876.55
2017-10-17,1853.35
2017-10-18,1877.55
2017-10-19,1845.5
2017-10-23,1808.45
2017-10-24,1814.3
2017-10-25,1758.85
2017-10-26,1726.25
2017-10-27,1824.85
2017-10-30,1851.95
2017-10-31,1877.3
2017-11-01,1870.85
2017-11-02,1887.0
2017-11-03,1950.95
2017-11-06,2203.5
2017-11-07,2077.9
2017-11-08,2111.75
2017-11-09,2209.85
2017-11-10,2114.25
2017-11-13,2083.15
2017-11-14,2057.6
2017-11-15,1921.25
2017-11-16,1944.3
2017-11-17,2000.85
2017-11-20,2052.45
2017-11-21,2018.2
2017-11-22,1999.7
2017-11-23,1982.9
2017-11-24,1975.95
2017-11-27,1949.3
2017-11-28,1923.85
2017-11-29,1952.05
2017-11-30,1931.35
2017-12-01,1884.7
2017-12-04,1924.4
2017-12-05,1911.6
2017-12-06,1905.0
2017-12-07,1982.5
2017-12-08,2161.75
2017-12-11,2147.65
2017-12-12,2134.05
2017-12-13,2086.4
2017-12-14,2060.9
2017-12-15,2108.2
2017-12-18,2076.75
2017-12-19,2081.5
2017-12-20,2066.95
2017-12-21,2070.15
2017-12-22,2189.05
2017-12-26,2212.55
2017-12-27,2162.1
2017-12-28,2157.4
2017-12-29,2193.95
