Date,UNIENTER
2017-01-02,63.6
2017-01-03,65.6
2017-01-04,68.25
2017-01-05,69.1
2017-01-06,68.75
2017-01-09,71.65
2017-01-10,71.5
2017-01-11,69.3
2017-01-12,71.05
2017-01-13,71.25
2017-01-16,72.1
2017-01-17,77.2
2017-01-18,77.4
2017-01-19,77.1
2017-01-20,74.55
2017-01-23,75.25
2017-01-24,75.35
2017-01-25,75.8
2017-01-27,76.1
2017-01-30,76.65
2017-01-31,74.35
2017-02-01,75.95
2017-02-02,75.15
2017-02-03,75.8
2017-02-06,76.0
2017-02-07,74.75
2017-02-08,74.0
2017-02-09,73.75
2017-02-10,73.1
2017-02-13,71.05
2017-02-14,70.05
2017-02-15,67.7
2017-02-16,68.95
2017-02-17,69.15
2017-02-20,69.5
2017-02-21,67.35
2017-02-22,68.55
2017-02-23,69.3
2017-02-27,68.75
2017-02-28,69.5
2017-03-01,70.0
2017-03-02,69.1
2017-03-03,69.15
2017-03-06,69.45
2017-03-07,69.5
2017-03-08,67.95
2017-03-09,68.35
2017-03-10,68.75
2017-03-14,69.4
2017-03-15,68.15
2017-03-16,69.45
2017-03-17,69.55
2017-03-20,69.75
2017-03-21,68.15
2017-03-22,68.5
2017-03-23,68.9
2017-03-24,70.45
2017-03-27,70.65
2017-03-28,70.45
2017-03-29,70.05
2017-03-30,69.9
2017-03-31,71.45
2017-04-03,72.0
2017-04-05,71.65
2017-04-06,72.0
2017-04-07,71.45
2017-04-10,71.6
2017-04-11,71.95
2017-04-12,72.4
2017-04-13,70.65
2017-04-17,71.5
2017-04-18,74.1
2017-04-19,76.0
2017-04-20,76.75
2017-04-21,75.4
2017-04-24,77.8
2017-04-25,75.8
2017-04-26,74.7
2017-04-27,75.9
2017-04-28,72.05
2017-05-02,75.4
2017-05-03,79.75
2017-05-04,79.75
2017-05-05,79.45
2017-05-08,80.0
2017-05-09,80.0
2017-05-10,79.85
2017-05-11,79.65
2017-05-12,79.2
2017-05-15,79.55
2017-05-16,80.0
2017-05-17,80.0
2017-05-18,80.05
2017-05-19,80.05
2017-05-22,80.0
2017-05-23,79.45
2017-05-24,80.0
2017-05-25,80.0
2017-05-26,80.5
2017-05-29,80.0
2017-05-30,79.7
2017-05-31,80.7
2017-06-01,80.9
2017-06-02,80.75
2017-06-05,79.8
2017-06-06,79.65
2017-06-07,80.35
2017-06-08,79.95
2017-06-09,79.7
2017-06-12,80.0
2017-06-13,79.55
2017-06-14,81.8
2017-06-15,80.6
2017-06-16,81.15
2017-06-19,80.25
2017-06-20,87.8
2017-06-21,86.95
2017-06-22,83.8
2017-06-23,82.15
2017-06-27,80.9
2017-06-28,80.0
2017-06-29,80.25
2017-06-30,80.05
2017-07-03,80.9
2017-07-04,81.2
2017-07-05,80.5
2017-07-06,79.9
2017-07-07,80.05
2017-07-10,80.2
2017-07-11,80.0
2017-07-12,82.5
2017-07-13,81.45
2017-07-14,80.7
2017-07-17,80.6
2017-07-18,80.25
2017-07-19,81.05
2017-07-20,82.35
2017-07-21,83.75
2017-07-24,86.0
2017-07-25,94.8
2017-07-26,93.1
2017-07-27,89.95
2017-07-28,89.05
2017-07-31,91.3
2017-08-01,92.25
2017-08-02,91.9
2017-08-03,89.85
2017-08-04,87.4
2017-08-07,90.05
2017-08-08,88.2
2017-08-09,86.05
2017-08-10,83.55
2017-08-11,83.9
2017-08-14,85.5
2017-08-16,88.0
2017-08-17,88.0
2017-08-18,87.05
2017-08-21,85.35
2017-08-22,86.75
2017-08-23,86.5
2017-08-24,88.15
2017-08-28,93.8
2017-08-29,92.65
2017-08-30,93.85
2017-08-31,95.3
2017-09-01,95.45
2017-09-04,95.75
2017-09-05,95.75
2017-09-06,100.1
2017-09-07,100.15
2017-09-08,98.7
2017-09-11,97.0
2017-09-12,98.95
2017-09-13,98.4
2017-09-14,101.1
2017-09-15,103.4
2017-09-18,104.25
2017-09-19,108.75
2017-09-20,106.65
2017-09-21,107.55
2017-09-22,105.1
2017-09-25,103.35
2017-09-26,104.0
2017-09-27,99.35
2017-09-28,101.2
2017-09-29,102.45
2017-10-03,101.35
2017-10-04,100.8
2017-10-05,94.55
2017-10-06,95.9
2017-10-09,99.45
2017-10-10,99.65
2017-10-11,97.9
2017-10-12,96.7
2017-10-13,95.6
2017-10-16,95.1
2017-10-17,93.8
2017-10-18,95.95
2017-10-19,95.6
2017-10-23,98.4
2017-10-24,97.5
2017-10-25,97.1
2017-10-26,98.95
2017-10-27,100.65
2017-10-30,104.1
2017-10-31,101.25
2017-11-01,98.8
2017-11-02,96.5
2017-11-03,97.1
2017-11-06,98.4
2017-11-07,92.8
2017-11-08,95.6
2017-11-09,93.65
2017-11-10,92.7
2017-11-13,91.6
2017-11-14,90.95
2017-11-15,91.25
2017-11-16,91.85
2017-11-17,93.05
2017-11-20,91.15
2017-11-21,93.6
2017-11-22,92.75
2017-11-23,93.35
2017-11-24,94.1
2017-11-27,92.55
2017-11-28,95.5
2017-11-29,94.15
2017-11-30,92.75
2017-12-01,91.5
2017-12-04,92.1
2017-12-05,89.95
2017-12-06,87.45
2017-12-07,89.7
2017-12-08,91.5
2017-12-11,90.35
2017-12-12,90.2
2017-12-13,89.1
2017-12-14,88.1
2017-12-15,89.9
2017-12-18,88.0
2017-12-19,88.2
2017-12-20,87.6
2017-12-21,89.85
2017-12-22,91.95
2017-12-26,91.65
2017-12-27,89.65
2017-12-28,91.75
2017-12-29,92.7
