Date,AARVEEDEN
2013-01-01,66.95
2013-01-02,66.15
2013-01-03,68.0
2013-01-04,66.55
2013-01-07,67.5
2013-01-08,68.45
2013-01-09,72.8
2013-01-10,75.9
2013-01-11,76.25
2013-01-14,78.85
2013-01-15,77.85
2013-01-16,76.75
2013-01-17,76.25
2013-01-18,75.1
2013-01-21,75.6
2013-01-22,74.25
2013-01-23,78.0
2013-01-24,76.1
2013-01-25,76.05
2013-01-28,76.65
2013-01-29,73.2
2013-01-30,72.0
2013-01-31,75.95
2013-02-01,76.55
2013-02-04,75.2
2013-02-05,74.05
2013-02-06,75.0
2013-02-07,74.25
2013-02-08,73.9
2013-02-11,59.15
2013-02-12,49.4
2013-02-13,50.25
2013-02-14,48.35
2013-02-15,47.85
2013-02-18,47.1
2013-02-19,47.3
2013-02-20,45.7
2013-02-21,43.4
2013-02-22,44.5
2013-02-25,43.0
2013-02-26,41.5
2013-02-27,40.1
2013-02-28,38.1
2013-03-01,37.9
2013-03-04,37.1
2013-03-05,38.35
2013-03-06,40.15
2013-03-07,40.0
2013-03-08,38.5
2013-03-11,37.5
2013-03-12,37.35
2013-03-13,35.0
2013-03-14,36.45
2013-03-15,36.7
2013-03-18,36.9
2013-03-19,34.5
2013-03-20,34.2
2013-03-21,35.4
2013-03-22,34.0
2013-03-25,33.45
2013-03-26,34.0
2013-03-28,34.15
2013-04-01,36.0
2013-04-02,37.05
2013-04-03,36.0
2013-04-04,35.3
2013-04-05,35.1
2013-04-08,35.9
2013-04-09,35.0
2013-04-10,34.75
2013-04-11,34.1
2013-04-12,35.0
2013-04-15,36.5
2013-04-16,36.45
2013-04-17,35.25
2013-04-18,33.75
2013-04-22,34.4
2013-04-23,34.15
2013-04-25,34.7
2013-04-26,34.35
2013-04-29,34.55
2013-04-30,34.55
2013-05-02,34.4
2013-05-03,34.8
2013-05-06,33.9
2013-05-07,33.85
2013-05-08,34.4
2013-05-09,33.95
2013-05-10,34.2
2013-05-13,34.0
2013-05-14,33.85
2013-05-15,35.7
2013-05-16,34.8
2013-05-17,34.0
2013-05-20,34.5
2013-05-21,34.6
2013-05-22,33.8
2013-05-23,33.65
2013-05-24,34.0
2013-05-27,33.75
2013-05-28,34.0
2013-05-29,40.8
2013-05-30,40.4
2013-05-31,38.0
2013-06-03,34.85
2013-06-04,34.25
2013-06-05,34.35
2013-06-06,35.9
2013-06-07,35.7
2013-06-10,37.8
2013-06-11,38.65
2013-06-12,38.75
2013-06-13,36.9
2013-06-14,36.4
2013-06-17,37.85
2013-06-18,37.7
2013-06-19,38.0
2013-06-20,37.6
2013-06-21,35.85
2013-06-24,35.1
2013-06-25,34.25
2013-06-26,34.1
2013-06-27,33.8
2013-06-28,34.15
2013-07-01,35.8
2013-07-02,36.0
2013-07-03,36.05
2013-07-04,36.95
2013-07-05,35.1
2013-07-08,35.8
2013-07-09,37.0
2013-07-10,37.3
2013-07-11,36.6
2013-07-12,36.95
2013-07-15,37.05
2013-07-16,37.1
2013-07-17,36.95
2013-07-18,37.95
2013-07-19,37.1
2013-07-22,37.95
2013-07-23,37.0
2013-07-24,36.0
2013-07-25,36.4
2013-07-26,36.55
2013-07-29,37.35
2013-07-30,36.6
2013-07-31,35.85
2013-08-01,31.25
2013-08-02,32.35
2013-08-05,28.05
2013-08-06,28.05
2013-08-07,29.5
2013-08-08,31.35
2013-08-12,31.8
2013-08-13,31.65
2013-08-14,31.05
2013-08-16,31.6
2013-08-19,32.0
2013-08-20,31.3
2013-08-21,31.5
2013-08-22,32.0
2013-08-23,33.45
2013-08-26,34.05
2013-08-27,32.0
2013-08-28,32.15
2013-08-29,32.15
2013-08-30,33.5
2013-09-02,34.05
2013-09-03,33.05
2013-09-04,32.8
2013-09-05,31.55
2013-09-06,30.0
2013-09-10,29.7
2013-09-11,30.1
2013-09-12,30.9
2013-09-13,30.5
2013-09-16,29.8
2013-09-17,29.6
2013-09-18,29.6
2013-09-19,31.25
2013-09-20,31.3
2013-09-23,30.0
2013-09-24,29.9
2013-09-25,30.75
2013-09-26,30.85
2013-09-27,31.0
2013-09-30,30.3
2013-10-01,30.15
2013-10-03,30.1
2013-10-04,30.65
2013-10-07,31.65
2013-10-08,34.8
2013-10-09,34.55
2013-10-10,34.15
2013-10-11,35.1
2013-10-14,36.0
2013-10-15,34.8
2013-10-17,34.7
2013-10-18,34.7
2013-10-21,35.65
2013-10-22,35.25
2013-10-23,35.95
2013-10-24,36.35
2013-10-25,35.7
2013-10-28,35.85
2013-10-29,36.65
2013-10-30,36.75
2013-10-31,35.0
2013-11-01,35.05
2013-11-03,35.4
2013-11-05,35.4
2013-11-06,34.45
2013-11-07,34.9
2013-11-08,35.0
2013-11-11,35.5
2013-11-12,35.65
2013-11-13,35.2
2013-11-14,35.9
2013-11-18,35.6
2013-11-19,42.7
2013-11-20,48.15
2013-11-21,42.7
2013-11-22,44.6
2013-11-25,43.25
2013-11-26,43.0
2013-11-27,42.25
2013-11-28,43.4
2013-11-29,43.2
2013-12-02,42.75
2013-12-03,42.9
2013-12-04,42.3
2013-12-05,44.2
2013-12-06,43.35
2013-12-09,44.1
2013-12-10,41.45
2013-12-11,45.15
2013-12-12,43.75
2013-12-13,42.95
2013-12-16,46.95
2013-12-17,52.55
2013-12-18,49.1
2013-12-19,47.55
2013-12-20,48.2
2013-12-23,47.95
2013-12-24,47.45
2013-12-26,47.85
2013-12-27,46.6
2013-12-30,46.7
2013-12-31,47.15
2014-01-01,47.4
2014-01-02,47.35
2014-01-03,47.7
2014-01-06,48.65
2014-01-07,49.1
2014-01-08,50.95
2014-01-09,50.95
2014-01-10,49.6
2014-01-13,50.15
2014-01-14,51.55
2014-01-15,50.8
2014-01-16,51.05
2014-01-17,49.2
2014-01-20,47.4
2014-01-21,46.6
2014-01-22,46.05
2014-01-23,45.55
2014-01-24,44.8
2014-01-27,41.4
2014-01-28,42.25
2014-01-29,41.25
2014-01-30,39.45
2014-01-31,41.35
2014-02-03,40.75
2014-02-04,42.55
2014-02-05,44.0
2014-02-06,43.2
2014-02-07,44.0
2014-02-10,43.8
2014-02-11,39.25
2014-02-12,36.85
2014-02-13,35.2
2014-02-14,35.4
2014-02-17,34.5
2014-02-18,34.4
2014-02-19,35.4
2014-02-20,34.1
2014-02-21,34.4
2014-02-24,34.35
2014-02-25,34.5
2014-02-26,34.4
2014-02-28,33.75
2014-03-03,33.1
2014-03-04,32.8
2014-03-05,33.0
2014-03-06,34.25
2014-03-07,34.65
2014-03-10,34.5
2014-03-11,34.65
2014-03-12,35.55
2014-03-13,34.3
2014-03-14,34.65
2014-03-18,34.0
2014-03-19,34.3
2014-03-20,34.0
2014-03-21,34.95
2014-03-24,33.85
2014-03-25,34.15
2014-03-26,34.05
2014-03-27,34.5
2014-03-28,35.45
2014-03-31,35.3
2014-04-01,35.4
2014-04-02,36.8
2014-04-03,37.25
2014-04-04,38.05
2014-04-07,37.85
2014-04-09,38.95
2014-04-10,39.25
2014-04-11,41.3
2014-04-15,39.6
2014-04-16,37.5
2014-04-17,37.0
2014-04-21,38.95
2014-04-22,38.0
2014-04-23,37.75
2014-04-25,42.25
2014-04-28,42.45
2014-04-29,41.0
2014-04-30,38.7
2014-05-02,37.9
2014-05-05,37.75
2014-05-06,37.55
2014-05-07,36.3
2014-05-08,35.7
2014-05-09,35.45
2014-05-12,36.55
2014-05-13,36.5
2014-05-14,36.3
2014-05-15,36.45
2014-05-16,35.8
2014-05-19,40.0
2014-05-20,41.25
2014-05-21,42.1
2014-05-22,44.85
2014-05-23,44.4
2014-05-26,42.5
2014-05-27,40.05
2014-05-28,43.35
2014-05-29,43.55
2014-05-30,38.3
2014-06-02,39.0
2014-06-03,39.1
2014-06-04,40.95
2014-06-05,43.65
2014-06-06,45.4
2014-06-09,45.65
2014-06-10,45.0
2014-06-11,44.15
2014-06-12,43.4
2014-06-13,41.75
2014-06-16,42.35
2014-06-17,43.4
2014-06-18,43.75
2014-06-19,44.65
2014-06-20,43.15
2014-06-23,44.1
2014-06-24,45.5
2014-06-25,47.7
2014-06-26,56.25
2014-06-27,55.1
2014-06-30,55.55
2014-07-01,55.55
2014-07-02,54.4
2014-07-03,54.35
2014-07-04,53.2
2014-07-07,52.25
2014-07-08,49.2
2014-07-09,46.35
2014-07-10,47.0
2014-07-11,48.55
2014-07-14,45.85
2014-07-15,47.65
2014-07-16,49.15
2014-07-17,53.2
2014-07-18,53.05
2014-07-21,51.45
2014-07-22,51.45
2014-07-23,50.25
2014-07-24,50.15
2014-07-25,49.05
2014-07-28,49.35
2014-07-30,48.35
2014-07-31,49.0
2014-08-01,47.05
2014-08-04,47.75
2014-08-05,47.65
2014-08-06,48.45
2014-08-07,48.5
2014-08-08,46.65
2014-08-11,47.7
2014-08-12,48.75
2014-08-13,46.3
2014-08-14,47.45
2014-08-18,45.3
2014-08-19,45.65
2014-08-20,45.4
2014-08-21,45.35
2014-08-22,46.0
2014-08-25,45.6
2014-08-26,44.55
2014-08-27,44.95
2014-08-28,50.6
2014-09-01,51.1
2014-09-02,51.65
2014-09-03,50.9
2014-09-04,49.1
2014-09-05,48.1
2014-09-08,55.0
2014-09-09,54.9
2014-09-10,55.5
2014-09-11,56.9
2014-09-12,55.25
2014-09-15,57.3
2014-09-16,52.3
2014-09-17,52.0
2014-09-18,53.4
2014-09-19,52.65
2014-09-22,51.7
2014-09-23,51.0
2014-09-24,49.15
2014-09-25,49.4
2014-09-26,49.0
2014-09-29,51.7
2014-09-30,50.9
2014-10-01,49.5
2014-10-07,48.1
2014-10-08,47.6
2014-10-09,48.3
2014-10-10,47.3
2014-10-13,47.7
2014-10-14,48.1
2014-10-16,45.45
2014-10-17,44.65
2014-10-20,46.35
2014-10-21,45.55
2014-10-22,46.3
2014-10-23,47.65
2014-10-27,46.2
2014-10-28,46.6
2014-10-29,46.55
2014-10-30,46.4
2014-10-31,45.0
2014-11-03,45.25
2014-11-05,46.9
2014-11-07,47.0
2014-11-10,49.05
2014-11-11,48.0
2014-11-12,48.65
2014-11-13,47.75
2014-11-14,50.25
2014-11-17,47.35
2014-11-18,49.65
2014-11-19,50.2
2014-11-20,48.85
2014-11-21,48.45
2014-11-24,46.45
2014-11-25,44.6
2014-11-26,44.85
2014-11-27,44.25
2014-11-28,45.55
2014-12-01,44.05
2014-12-02,50.45
2014-12-03,51.85
2014-12-04,49.25
2014-12-05,49.0
2014-12-08,47.25
2014-12-09,45.25
2014-12-10,45.25
2014-12-11,45.05
2014-12-12,44.65
2014-12-15,45.1
2014-12-16,44.95
2014-12-17,43.1
2014-12-18,43.2
2014-12-19,43.3
2014-12-22,41.95
2014-12-23,41.8
2014-12-24,43.05
2014-12-26,47.45
