Date,AJMERA
2013-01-01,128.0
2013-01-02,129.2
2013-01-03,131.2
2013-01-04,130.9
2013-01-07,136.95
2013-01-08,138.85
2013-01-09,134.5
2013-01-10,133.6
2013-01-11,130.75
2013-01-14,131.65
2013-01-15,133.65
2013-01-16,129.45
2013-01-17,130.2
2013-01-18,129.35
2013-01-21,129.75
2013-01-22,128.7
2013-01-23,122.25
2013-01-24,116.2
2013-01-25,116.55
2013-01-28,122.9
2013-01-29,118.0
2013-01-30,117.05
2013-01-31,118.25
2013-02-01,123.85
2013-02-04,119.3
2013-02-05,119.1
2013-02-06,117.65
2013-02-07,118.35
2013-02-08,115.85
2013-02-11,115.3
2013-02-12,114.05
2013-02-13,107.5
2013-02-14,108.5
2013-02-15,106.0
2013-02-18,107.0
2013-02-19,108.8
2013-02-20,111.15
2013-02-21,105.85
2013-02-22,107.0
2013-02-25,105.1
2013-02-26,102.4
2013-02-27,104.4
2013-02-28,101.1
2013-03-01,103.25
2013-03-04,101.0
2013-03-05,100.05
2013-03-06,103.0
2013-03-07,101.9
2013-03-08,103.9
2013-03-11,101.95
2013-03-12,102.15
2013-03-13,100.35
2013-03-14,100.4
2013-03-15,100.3
2013-03-18,97.75
2013-03-19,95.65
2013-03-20,94.75
2013-03-21,94.0
2013-03-22,93.3
2013-03-25,93.7
2013-03-26,94.85
2013-03-28,94.15
2013-04-01,97.4
2013-04-02,100.5
2013-04-03,98.95
2013-04-04,95.4
2013-04-05,96.1
2013-04-08,95.5
2013-04-09,95.15
2013-04-10,94.4
2013-04-11,97.35
2013-04-12,97.0
2013-04-15,97.9
2013-04-16,97.85
2013-04-17,98.45
2013-04-18,96.8
2013-04-22,97.5
2013-04-23,97.8
2013-04-25,95.85
2013-04-26,95.75
2013-04-29,94.75
2013-04-30,96.5
2013-05-02,96.9
2013-05-03,101.9
2013-05-06,99.25
2013-05-07,99.05
2013-05-08,98.5
2013-05-09,98.05
2013-05-10,96.55
2013-05-11,97.55
2013-05-13,97.4
2013-05-14,96.05
2013-05-15,96.55
2013-05-16,97.7
2013-05-17,96.5
2013-05-20,97.1
2013-05-21,95.6
2013-05-22,94.25
2013-05-23,92.3
2013-05-24,90.4
2013-05-27,92.45
2013-05-28,92.2
2013-05-29,92.15
2013-05-30,89.25
2013-05-31,88.5
2013-06-03,88.65
2013-06-04,88.8
2013-06-05,88.4
2013-06-06,88.05
2013-06-07,86.6
2013-06-10,87.3
2013-06-11,86.2
2013-06-12,86.0
2013-06-13,86.3
2013-06-14,85.8
2013-06-17,88.55
2013-06-18,86.3
2013-06-19,86.45
2013-06-20,85.05
2013-06-21,84.2
2013-06-24,79.75
2013-06-25,78.05
2013-06-26,77.7
2013-06-27,77.5
2013-06-28,80.35
2013-07-01,80.6
2013-07-02,79.2
2013-07-03,78.15
2013-07-04,83.25
2013-07-05,77.4
2013-07-08,79.05
2013-07-09,80.4
2013-07-10,77.0
2013-07-11,77.6
2013-07-12,79.0
2013-07-15,77.2
2013-07-16,75.95
2013-07-17,76.1
2013-07-18,75.15
2013-07-19,75.2
2013-07-22,77.5
2013-07-23,75.6
2013-07-24,75.9
2013-07-25,75.5
2013-07-26,75.1
2013-07-29,74.7
2013-07-30,73.65
2013-07-31,70.95
2013-08-01,69.6
2013-08-02,68.5
2013-08-05,64.15
2013-08-06,65.35
2013-08-07,68.2
2013-08-08,70.05
2013-08-12,67.85
2013-08-13,69.9
2013-08-14,69.3
2013-08-16,67.65
2013-08-19,66.2
2013-08-20,64.95
2013-08-21,65.85
2013-08-22,64.25
2013-08-23,65.2
2013-08-26,63.0
2013-08-27,63.4
2013-08-28,63.8
2013-08-29,63.15
2013-08-30,56.95
2013-09-02,58.85
2013-09-03,58.6
2013-09-04,57.25
2013-09-05,57.15
2013-09-06,60.95
