Date,BAJAJHIND
2013-01-01,25.2
2013-01-02,25.05
2013-01-03,25.2
2013-01-04,25.1
2013-01-07,25.0
2013-01-08,25.15
2013-01-09,24.95
2013-01-10,24.75
2013-01-11,24.15
2013-01-14,24.15
2013-01-15,24.2
2013-01-16,23.8
2013-01-17,23.9
2013-01-18,23.9
2013-01-21,23.95
2013-01-22,23.3
2013-01-23,22.95
2013-01-24,22.55
2013-01-25,22.2
2013-01-28,22.85
2013-01-29,23.1
2013-01-30,22.95
2013-01-31,23.4
2013-02-01,23.85
2013-02-04,23.3
2013-02-05,22.85
2013-02-06,24.05
2013-02-07,23.75
2013-02-08,23.3
2013-02-11,22.95
2013-02-12,22.7
2013-02-13,22.65
2013-02-14,22.1
2013-02-15,22.55
2013-02-18,23.9
2013-02-19,23.85
2013-02-20,23.9
2013-02-21,23.2
2013-02-22,23.3
2013-02-25,22.95
2013-02-26,22.35
2013-02-27,22.65
2013-02-28,20.95
2013-03-01,20.9
2013-03-04,20.25
2013-03-05,20.95
2013-03-06,21.35
2013-03-07,21.35
2013-03-08,21.65
2013-03-11,22.5
2013-03-12,23.15
2013-03-13,23.0
2013-03-14,22.6
2013-03-15,21.7
2013-03-18,21.95
2013-03-19,20.9
2013-03-20,19.9
2013-03-21,19.1
2013-03-22,18.8
2013-03-25,18.35
2013-03-26,18.35
2013-03-28,18.95
2013-04-01,19.5
2013-04-02,20.45
2013-04-03,19.85
2013-04-04,21.3
2013-04-05,21.4
2013-04-08,21.1
2013-04-09,20.15
2013-04-10,19.95
2013-04-11,19.85
2013-04-12,20.35
2013-04-15,20.0
2013-04-16,20.15
2013-04-17,20.15
2013-04-18,20.2
2013-04-22,20.2
2013-04-23,19.95
2013-04-25,19.9
2013-04-26,19.65
2013-04-29,20.1
2013-04-30,19.8
2013-05-02,20.05
2013-05-03,20.25
2013-05-06,20.65
2013-05-07,21.45
2013-05-08,21.8
2013-05-09,21.3
2013-05-10,21.0
2013-05-11,21.0
2013-05-13,20.65
2013-05-14,20.35
2013-05-15,20.65
2013-05-16,20.8
2013-05-17,20.7
2013-05-20,20.5
2013-05-21,20.2
2013-05-22,19.85
2013-05-23,19.4
2013-05-24,19.2
2013-05-27,19.15
2013-05-28,19.4
2013-05-29,19.05
2013-05-30,18.9
2013-05-31,18.45
2013-06-03,18.3
2013-06-04,18.25
2013-06-05,18.35
2013-06-06,18.6
2013-06-07,18.3
2013-06-10,17.3
2013-06-11,16.85
2013-06-12,17.15
2013-06-13,16.4
2013-06-14,16.15
2013-06-17,15.95
2013-06-18,15.95
2013-06-19,16.05
2013-06-20,14.9
2013-06-21,14.35
2013-06-24,14.05
2013-06-25,14.0
2013-06-26,13.7
2013-06-27,13.95
2013-06-28,14.45
2013-07-01,15.2
2013-07-02,15.0
2013-07-03,15.2
2013-07-04,15.15
2013-07-05,15.4
2013-07-08,15.25
2013-07-09,15.65
2013-07-10,15.9
2013-07-11,15.7
2013-07-12,15.45
2013-07-15,15.9
2013-07-16,15.5
2013-07-17,15.1
2013-07-18,15.4
2013-07-19,15.55
2013-07-22,15.5
2013-07-23,15.3
2013-07-24,14.75
2013-07-25,14.35
2013-07-26,14.2
2013-07-29,14.0
2013-07-30,13.4
2013-07-31,13.35
2013-08-01,13.0
2013-08-02,12.65
2013-08-05,12.85
2013-08-06,12.15
2013-08-07,12.55
2013-08-08,13.2
2013-08-12,13.15
2013-08-13,13.25
2013-08-14,13.2
2013-08-16,12.9
2013-08-19,12.8
2013-08-20,12.6
2013-08-21,12.45
2013-08-22,12.55
2013-08-23,12.4
2013-08-26,12.55
2013-08-27,12.5
2013-08-28,12.25
2013-08-29,12.35
2013-08-30,12.3
2013-09-02,13.45
2013-09-03,12.65
2013-09-04,12.9
2013-09-05,12.95
2013-09-06,12.85
2013-09-10,12.7
2013-09-11,12.55
2013-09-12,12.55
2013-09-13,12.6
2013-09-16,12.5
2013-09-17,12.5
2013-09-18,12.5
2013-09-19,12.45
2013-09-20,12.1
2013-09-23,12.05
2013-09-24,12.05
2013-09-25,11.95
2013-09-26,12.4
2013-09-27,12.55
2013-09-30,12.25
2013-10-01,12.55
2013-10-03,12.9
2013-10-04,12.65
2013-10-07,12.6
2013-10-08,12.45
2013-10-09,12.65
2013-10-10,12.65
2013-10-11,12.65
2013-10-14,12.6
2013-10-15,12.55
2013-10-17,13.3
2013-10-18,13.5
2013-10-21,14.15
2013-10-22,14.75
2013-10-23,14.85
2013-10-24,14.7
2013-10-25,14.45
2013-10-28,14.35
2013-10-29,13.65
2013-10-30,13.5
2013-10-31,13.55
2013-11-01,14.05
2013-11-03,14.3
2013-11-05,14.35
2013-11-06,14.2
2013-11-07,13.8
2013-11-08,13.65
2013-11-11,13.7
2013-11-12,13.35
2013-11-13,12.85
2013-11-14,13.1
2013-11-18,13.2
2013-11-19,13.1
2013-11-20,14.95
2013-11-21,14.55
2013-11-22,14.7
2013-11-25,15.0
2013-11-26,14.1
2013-11-27,14.35
2013-11-28,14.95
2013-11-29,14.6
2013-12-02,14.15
2013-12-03,14.3
2013-12-04,14.15
2013-12-05,13.9
2013-12-06,14.7
2013-12-09,14.5
2013-12-10,14.2
2013-12-11,14.5
2013-12-12,14.15
2013-12-13,13.75
2013-12-16,13.45
2013-12-17,13.6
2013-12-18,13.85
2013-12-19,14.1
2013-12-20,14.5
2013-12-23,14.2
2013-12-24,14.15
2013-12-26,14.45
2013-12-27,14.25
2013-12-30,14.2
2013-12-31,14.1
2014-01-01,14.15
2014-01-02,13.95
2014-01-03,13.95
2014-01-06,14.1
2014-01-07,14.45
2014-01-08,14.2
2014-01-09,14.2
2014-01-10,13.95
2014-01-13,13.9
2014-01-14,14.05
2014-01-15,14.25
2014-01-16,14.1
2014-01-17,13.85
2014-01-20,13.75
2014-01-21,13.65
2014-01-22,13.6
2014-01-23,13.55
2014-01-24,13.2
2014-01-27,12.6
2014-01-28,12.7
2014-01-29,12.7
2014-01-30,12.45
2014-01-31,12.25
2014-02-03,12.4
2014-02-04,12.55
2014-02-05,12.7
2014-02-06,12.65
2014-02-07,12.75
2014-02-10,12.6
2014-02-11,13.05
2014-02-12,12.75
2014-02-13,12.95
2014-02-14,12.65
2014-02-17,12.55
2014-02-18,12.6
2014-02-19,13.3
2014-02-20,13.0
2014-02-21,12.85
2014-02-24,12.95
2014-02-25,13.05
2014-02-26,13.3
2014-02-28,13.1
2014-03-03,13.2
2014-03-04,13.1
2014-03-05,13.1
2014-03-06,13.7
2014-03-07,13.7
2014-03-10,13.65
2014-03-11,13.65
2014-03-12,13.9
2014-03-13,15.35
2014-03-14,14.95
2014-03-18,15.5
2014-03-19,15.6
2014-03-20,15.75
2014-03-21,16.05
2014-03-22,16.5
2014-03-24,16.65
2014-03-25,16.2
2014-03-26,15.85
2014-03-27,15.95
2014-03-28,16.2
2014-03-31,16.35
2014-04-01,17.4
2014-04-02,18.2
2014-04-03,17.8
2014-04-04,19.6
2014-04-07,20.35
2014-04-09,19.85
2014-04-10,19.0
2014-04-11,18.6
2014-04-15,18.75
2014-04-16,18.2
2014-04-17,18.25
2014-04-21,18.2
2014-04-22,17.75
2014-04-23,19.15
2014-04-25,18.55
2014-04-28,19.4
2014-04-29,18.85
2014-04-30,17.8
2014-05-02,17.85
2014-05-05,17.6
2014-05-06,17.15
2014-05-07,17.4
2014-05-08,17.45
2014-05-09,17.75
2014-05-12,17.95
2014-05-13,18.8
2014-05-14,19.1
2014-05-15,18.65
2014-05-16,18.7
2014-05-19,20.95
2014-05-20,23.1
2014-05-21,23.4
2014-05-22,26.45
2014-05-23,28.05
2014-05-26,25.75
2014-05-27,24.9
2014-05-28,24.6
2014-05-29,23.7
2014-05-30,24.4
2014-06-02,25.05
2014-06-03,27.55
2014-06-04,28.45
2014-06-05,27.9
2014-06-06,30.65
2014-06-09,30.85
2014-06-10,31.75
2014-06-11,30.25
2014-06-12,29.95
2014-06-13,28.2
2014-06-16,28.0
2014-06-17,29.4
2014-06-18,28.25
2014-06-19,27.75
2014-06-20,26.65
2014-06-23,29.3
2014-06-24,31.4
2014-06-25,30.65
2014-06-26,29.9
2014-06-27,29.75
2014-06-30,30.05
2014-07-01,30.45
2014-07-02,30.2
2014-07-03,29.35
2014-07-04,28.8
2014-07-07,29.75
2014-07-08,28.0
2014-07-09,26.8
2014-07-10,27.3
2014-07-11,25.5
2014-07-14,24.7
2014-07-15,25.5
2014-07-16,26.3
2014-07-17,26.6
2014-07-18,25.9
2014-07-21,25.95
2014-07-22,25.55
2014-07-23,25.7
2014-07-24,26.7
2014-07-25,25.3
2014-07-28,24.4
2014-07-30,24.1
2014-07-31,24.35
2014-08-01,24.15
2014-08-04,24.15
