Date,BHUSANSTL
2013-01-01,481.65
2013-01-02,482.2
2013-01-03,482.95
2013-01-04,480.1
2013-01-07,493.2
2013-01-08,484.15
2013-01-09,446.6
2013-01-10,446.7
2013-01-11,440.9
2013-01-14,438.85
2013-01-15,429.05
2013-01-16,428.95
2013-01-17,435.95
2013-01-18,432.95
2013-01-21,433.45
2013-01-22,433.8
2013-01-23,434.95
2013-01-24,436.6
2013-01-25,440.15
2013-01-28,443.75
2013-01-29,445.05
2013-01-30,445.15
2013-01-31,449.1
2013-02-01,446.85
2013-02-04,459.35
2013-02-05,456.7
2013-02-06,463.6
2013-02-07,465.7
2013-02-08,464.0
2013-02-11,464.75
2013-02-12,465.0
2013-02-13,464.4
2013-02-14,463.45
2013-02-15,465.0
2013-02-18,463.95
2013-02-19,465.0
2013-02-20,464.45
2013-02-21,462.25
2013-02-22,463.4
2013-02-25,463.45
2013-02-26,463.1
2013-02-27,462.5
2013-02-28,461.1
2013-03-01,460.5
2013-03-04,460.1
2013-03-05,463.55
2013-03-06,465.9
2013-03-07,463.35
2013-03-08,463.35
2013-03-11,463.5
2013-03-12,461.15
2013-03-13,459.75
2013-03-14,461.7
2013-03-15,460.2
2013-03-18,459.85
2013-03-19,458.15
2013-03-20,457.0
2013-03-21,456.05
2013-03-22,456.25
2013-03-25,457.55
2013-03-26,456.85
2013-03-28,458.25
2013-04-01,457.55
2013-04-02,460.25
2013-04-03,459.45
2013-04-04,454.6
2013-04-05,453.45
2013-04-08,454.0
2013-04-09,453.6
2013-04-10,457.8
2013-04-11,455.9
2013-04-12,456.25
2013-04-15,454.65
2013-04-16,454.6
2013-04-17,455.1
2013-04-18,456.45
2013-04-22,457.15
2013-04-23,456.2
2013-04-25,455.6
2013-04-26,456.25
2013-04-29,456.7
2013-04-30,456.7
2013-05-02,458.25
2013-05-03,455.9
2013-05-06,461.75
2013-05-07,465.2
2013-05-08,463.0
2013-05-09,461.0
2013-05-10,460.7
2013-05-11,462.65
2013-05-13,459.5
2013-05-14,460.05
2013-05-15,467.25
2013-05-16,465.25
2013-05-17,464.05
2013-05-20,464.3
2013-05-21,464.35
2013-05-22,462.35
2013-05-23,460.35
2013-05-24,464.3
2013-05-27,465.35
2013-05-28,464.8
2013-05-29,463.4
2013-05-30,464.5
2013-05-31,464.0
2013-06-03,464.6
2013-06-04,465.4
2013-06-05,463.55
2013-06-06,463.65
2013-06-07,464.1
2013-06-10,464.85
2013-06-11,463.25
2013-06-12,462.9
2013-06-13,462.0
2013-06-14,463.1
2013-06-17,466.1
2013-06-18,467.55
2013-06-19,466.25
2013-06-20,461.4
2013-06-21,462.35
2013-06-24,463.3
2013-06-25,464.0
2013-06-26,462.05
2013-06-27,462.65
2013-06-28,464.55
2013-07-01,464.4
2013-07-02,463.55
2013-07-03,460.65
2013-07-04,461.1
2013-07-05,462.35
2013-07-08,462.25
2013-07-09,461.8
2013-07-10,463.1
2013-07-11,463.35
2013-07-12,465.0
2013-07-15,464.35
2013-07-16,462.8
2013-07-17,462.2
2013-07-18,463.7
2013-07-19,462.9
2013-07-22,463.05
2013-07-23,463.1
2013-07-24,460.6
2013-07-25,460.9
2013-07-26,460.2
2013-07-29,460.1
2013-07-30,460.3
2013-07-31,461.2
2013-08-01,460.65
2013-08-02,461.55
2013-08-05,461.6
2013-08-06,460.5
2013-08-07,460.75
2013-08-08,460.1
2013-08-12,461.85
2013-08-13,460.1
2013-08-14,459.75
2013-08-16,447.8
2013-08-19,449.8
2013-08-20,451.75
2013-08-21,452.75
2013-08-22,455.5
2013-08-23,460.3
2013-08-26,459.9
2013-08-27,453.55
2013-08-28,455.75
2013-08-29,457.6
2013-08-30,456.55
2013-09-02,461.1
2013-09-03,454.15
2013-09-04,459.1
2013-09-05,459.0
2013-09-06,474.1
2013-09-10,481.65
2013-09-11,482.35
2013-09-12,478.4
2013-09-13,482.5
2013-09-16,482.4
2013-09-17,482.45
2013-09-18,483.75
2013-09-19,489.7
2013-09-20,483.9
2013-09-23,480.45
2013-09-24,480.55
2013-09-25,480.2
2013-09-26,480.05
2013-09-27,480.3
2013-09-30,480.65
2013-10-01,480.0
2013-10-03,479.15
2013-10-04,479.1
2013-10-07,474.8
2013-10-08,475.0
2013-10-09,479.45
2013-10-10,480.1
2013-10-11,479.5
2013-10-14,479.45
2013-10-15,478.95
2013-10-17,480.0
2013-10-18,480.7
2013-10-21,481.0
2013-10-22,479.05
2013-10-23,477.55
2013-10-24,478.75
2013-10-25,479.85
2013-10-28,479.1
2013-10-29,481.25
2013-10-30,479.2
2013-10-31,480.6
2013-11-01,491.8
2013-11-03,494.3
2013-11-05,492.75
2013-11-06,490.35
2013-11-07,496.55
2013-11-08,494.85
2013-11-11,493.75
2013-11-12,487.7
2013-11-13,483.7
2013-11-14,485.95
2013-11-18,484.0
2013-11-19,485.15
2013-11-20,484.35
2013-11-21,482.05
2013-11-22,482.95
2013-11-25,484.5
2013-11-26,479.3
2013-11-27,479.8
2013-11-28,484.1
2013-11-29,482.4
2013-12-02,482.25
2013-12-03,480.25
2013-12-04,482.7
2013-12-05,483.7
2013-12-06,483.75
2013-12-09,483.65
2013-12-10,482.55
2013-12-11,483.65
2013-12-12,481.35
2013-12-13,480.9
2013-12-16,482.4
2013-12-17,480.5
2013-12-18,480.95
2013-12-19,482.95
2013-12-20,480.9
2013-12-23,480.85
2013-12-24,480.55
2013-12-26,480.25
2013-12-27,481.15
2013-12-30,481.4
2013-12-31,481.25
2014-01-01,480.4
2014-01-02,480.25
2014-01-03,478.85
2014-01-06,478.5
2014-01-07,475.0
2014-01-08,476.9
2014-01-09,479.35
2014-01-10,477.3
2014-01-13,477.5
2014-01-14,476.8
2014-01-15,475.45
2014-01-16,475.25
2014-01-17,475.2
2014-01-20,495.65
2014-01-21,475.4
2014-01-22,475.4
2014-01-23,475.4
2014-01-24,476.45
2014-01-27,474.0
2014-01-28,471.45
2014-01-29,469.15
2014-01-30,455.1
2014-01-31,464.55
2014-02-03,455.1
2014-02-04,450.55
2014-02-05,456.85
2014-02-06,456.25
2014-02-07,458.35
2014-02-10,455.45
2014-02-11,453.7
2014-02-12,455.05
2014-02-13,454.0
2014-02-14,456.4
2014-02-17,458.95
2014-02-18,453.15
2014-02-19,453.85
2014-02-20,449.8
2014-02-21,452.3
2014-02-24,452.45
2014-02-25,452.75
2014-02-26,452.55
2014-02-28,453.3
2014-03-03,452.45
2014-03-04,451.7
2014-03-05,453.05
2014-03-06,455.05
2014-03-07,453.15
2014-03-10,452.5
2014-03-11,451.0
2014-03-12,452.95
2014-03-13,452.45
2014-03-14,453.7
2014-03-18,452.25
2014-03-19,454.0
2014-03-20,452.75
2014-03-21,450.4
2014-03-22,448.9
2014-03-24,448.85
2014-03-25,451.5
2014-03-26,451.95
2014-03-27,452.95
2014-03-28,454.35
2014-03-31,452.75
2014-04-01,452.4
2014-04-02,450.35
2014-04-03,443.9
2014-04-04,443.65
2014-04-07,442.2
2014-04-09,448.4
2014-04-10,447.15
2014-04-11,442.5
2014-04-15,445.6
2014-04-16,443.45
2014-04-17,445.25
2014-04-21,447.0
2014-04-22,447.4
2014-04-23,446.75
2014-04-25,446.35
2014-04-28,449.8
2014-04-29,445.45
2014-04-30,446.45
2014-05-02,443.75
2014-05-05,444.9
2014-05-06,446.95
2014-05-07,444.85
2014-05-08,447.85
2014-05-09,449.3
2014-05-12,448.3
2014-05-13,453.65
2014-05-14,452.65
2014-05-15,453.65
2014-05-16,462.95
2014-05-19,450.1
2014-05-20,439.6
2014-05-21,425.95
2014-05-22,421.0
2014-05-23,428.65
2014-05-26,421.95
2014-05-27,416.55
2014-05-28,412.6
2014-05-29,415.1
2014-05-30,413.9
2014-06-02,416.3
2014-06-03,418.15
2014-06-04,428.05
2014-06-05,431.85
2014-06-06,437.45
2014-06-09,447.85
2014-06-10,446.8
2014-06-11,444.9
2014-06-12,435.05
2014-06-13,423.85
2014-06-16,414.75
2014-06-17,406.15
2014-06-18,404.05
2014-06-19,404.75
2014-06-20,403.6
2014-06-23,399.6
2014-06-24,397.15
2014-06-25,396.4
2014-06-26,396.1
2014-06-27,393.45
2014-06-30,388.5
2014-07-01,397.0
2014-07-02,402.15
2014-07-03,399.4
2014-07-04,401.25
2014-07-07,399.45
2014-07-08,398.5
2014-07-09,398.75
2014-07-10,399.1
2014-07-11,396.0
2014-07-14,393.9
2014-07-15,397.6
2014-07-16,397.05
2014-07-17,395.5
2014-07-18,394.6
2014-07-21,394.85
2014-07-22,394.7
2014-07-23,395.55
2014-07-24,394.55
2014-07-25,395.0
2014-07-28,394.6
2014-07-30,395.0
2014-07-31,394.75
2014-08-01,392.7
2014-08-04,378.55
2014-08-05,381.2
2014-08-06,305.0
2014-08-07,244.0
2014-08-08,219.6
2014-08-11,197.65
2014-08-12,177.9
2014-08-13,169.05
2014-08-14,160.6
2014-08-18,152.6
2014-08-19,145.0
2014-08-20,137.75
2014-08-21,130.9
2014-08-22,124.4
2014-08-25,118.2
2014-08-26,112.3
2014-08-27,106.7
2014-08-28,101.4
2014-09-01,96.35
2014-09-02,91.55
2014-09-03,96.1
2014-09-04,100.9
2014-09-05,105.9
2014-09-08,111.15
2014-09-09,116.7
2014-09-10,122.5
2014-09-11,128.6
2014-09-12,135.0
2014-09-15,127.8
2014-09-16,129.55
2014-09-17,132.85
2014-09-18,130.9
2014-09-19,124.55
2014-09-22,118.5
2014-09-23,112.6
2014-09-24,107.0
2014-09-25,101.65
2014-09-26,106.7
2014-09-29,112.0
2014-09-30,117.6
2014-10-01,114.7
2014-10-07,111.25
2014-10-08,106.6
2014-10-09,108.4
2014-10-10,107.1
2014-10-13,107.3
2014-10-14,111.55
2014-10-16,108.0
2014-10-17,107.4
2014-10-20,107.0
2014-10-21,106.4
2014-10-22,106.2
2014-10-23,107.8
2014-10-27,106.6
2014-10-28,105.5
2014-10-29,105.65
2014-10-30,105.55
2014-10-31,105.85
2014-11-03,106.7
2014-11-05,117.35
2014-11-07,111.95
2014-11-10,109.85
2014-11-11,109.6
2014-11-12,108.4
2014-11-13,107.25
2014-11-14,106.75
2014-11-17,104.5
2014-11-18,104.6
2014-11-19,104.15
2014-11-20,103.35
2014-11-21,101.4
2014-11-24,101.5
2014-11-25,99.05
2014-11-26,99.5
2014-11-27,98.2
2014-11-28,97.05
2014-12-01,101.8
2014-12-02,100.6
2014-12-03,101.3
2014-12-04,100.7
2014-12-05,100.25
2014-12-08,98.8
2014-12-09,97.25
2014-12-10,97.65
2014-12-11,96.85
2014-12-12,95.25
2014-12-15,93.3
2014-12-16,89.1
2014-12-17,86.55
2014-12-18,89.5
2014-12-19,90.55
2014-12-22,89.45
2014-12-23,86.55
2014-12-24,86.85
2014-12-26,88.15
2014-12-29,88.3
2014-12-30,87.1
2014-12-31,88.15
2015-01-01,88.45
2015-01-02,89.45
2015-01-05,91.0
2015-01-06,88.45
2015-01-07,87.55
2015-01-08,88.0
2015-01-09,87.2
2015-01-12,87.35
2015-01-13,86.25
2015-01-14,85.35
2015-01-15,85.15
2015-01-16,86.95
2015-01-19,87.5
2015-01-20,87.2
2015-01-21,86.35
2015-01-22,86.0
2015-01-23,85.55
2015-01-27,84.6
2015-01-28,83.2
2015-01-29,83.05
2015-01-30,83.35
2015-02-02,84.1
2015-02-03,83.75
2015-02-04,83.05
2015-02-05,82.2
2015-02-06,92.0
2015-02-09,93.2
2015-02-10,88.75
2015-02-11,91.7
2015-02-12,90.25
2015-02-13,88.8
2015-02-16,89.1
2015-02-18,88.9
2015-02-19,91.9
2015-02-20,90.3
2015-02-23,90.4
2015-02-24,88.45
2015-02-25,87.85
2015-02-26,87.85
2015-02-27,87.2
2015-02-28,87.6
2015-03-02,87.1
2015-03-03,100.8
2015-03-04,92.5
2015-03-05,92.05
2015-03-09,90.2
2015-03-10,88.7
2015-03-11,87.2
2015-03-12,86.45
2015-03-13,83.9
2015-03-16,81.9
2015-03-17,81.1
2015-03-18,81.15
2015-03-19,78.65
2015-03-20,78.05
2015-03-23,75.3
2015-03-24,71.4
2015-03-25,68.55
2015-03-26,65.65
2015-03-27,60.7
2015-03-30,61.55
2015-03-31,65.2
2015-04-01,64.0
2015-04-06,60.6
2015-04-07,62.4
2015-04-08,70.4
2015-04-09,73.05
2015-04-10,72.8
2015-04-13,72.7
2015-04-15,71.45
2015-04-16,70.05
2015-04-17,70.1
2015-04-20,69.15
2015-04-21,66.3
2015-04-22,65.75
2015-04-23,66.35
2015-04-24,63.55
2015-04-27,61.95
2015-04-28,62.3
2015-04-29,62.05
2015-04-30,61.45
2015-05-04,62.8
2015-05-05,62.85
2015-05-06,61.15
2015-05-07,60.2
2015-05-08,60.45
2015-05-11,61.25
2015-05-12,59.4
2015-05-13,60.05
2015-05-14,60.4
2015-05-15,60.3
2015-05-18,60.7
2015-05-19,61.1
2015-05-20,60.5
2015-05-21,60.4
2015-05-22,59.85
2015-05-25,59.0
2015-05-26,58.35
2015-05-27,58.1
2015-05-28,57.0
2015-05-29,56.2
2015-06-01,56.65
2015-06-02,54.8
2015-06-03,51.15
2015-06-04,50.35
2015-06-05,60.4
2015-06-08,71.4
2015-06-09,72.2
2015-06-10,66.35
2015-06-11,60.4
2015-06-12,57.65
2015-06-15,58.3
2015-06-16,57.45
2015-06-17,59.35
2015-06-18,59.25
2015-06-19,59.85
2015-06-22,59.7
2015-06-23,59.65
2015-06-24,58.9
2015-06-25,59.05
2015-06-26,58.6
2015-06-29,56.25
2015-06-30,56.55
2015-07-01,57.05
2015-07-02,57.25
2015-07-03,56.25
2015-07-06,56.5
2015-07-07,56.4
2015-07-08,54.85
2015-07-09,65.8
2015-07-10,72.6
2015-07-13,68.3
2015-07-14,67.45
2015-07-15,64.2
2015-07-16,64.6
2015-07-17,66.15
2015-07-20,64.25
2015-07-21,61.9
2015-07-22,61.2
2015-07-23,61.5
2015-07-24,60.4
2015-07-27,58.75
2015-07-28,58.2
2015-07-29,57.35
2015-07-30,58.05
2015-07-31,59.0
2015-08-03,58.75
2015-08-04,59.8
2015-08-05,60.35
2015-08-06,60.25
2015-08-07,59.95
2015-08-10,61.8
2015-08-11,60.2
2015-08-12,59.95
2015-08-13,57.35
2015-08-14,57.05
2015-08-17,58.95
2015-08-18,59.1
2015-08-19,57.65
2015-08-20,56.7
2015-08-21,56.8
2015-08-24,50.2
2015-08-25,50.8
2015-08-26,51.35
2015-08-27,53.25
2015-08-28,52.85
2015-08-31,52.45
2015-09-01,50.8
2015-09-02,50.1
2015-09-03,50.6
2015-09-04,49.05
2015-09-07,46.2
2015-09-08,46.3
2015-09-09,48.45
2015-09-10,46.6
2015-09-11,46.6
2015-09-14,47.15
2015-09-15,47.6
2015-09-16,46.35
2015-09-18,44.3
2015-09-21,44.85
2015-09-22,44.05
2015-09-23,43.65
2015-09-24,43.75
2015-09-28,42.95
2015-09-29,42.35
2015-09-30,43.1
2015-10-01,42.9
2015-10-05,44.25
2015-10-06,44.75
2015-10-07,46.5
2015-10-08,45.7
2015-10-09,46.15
2015-10-12,48.3
2015-10-13,48.5
2015-10-14,47.8
2015-10-15,47.1
2015-10-16,46.95
2015-10-19,47.1
2015-10-20,46.7
2015-10-21,46.05
2015-10-23,45.65
2015-10-26,45.05
2015-10-27,44.8
2015-10-28,43.85
2015-10-29,43.95
2015-10-30,44.1
2015-11-02,43.55
2015-11-03,43.3
2015-11-04,42.95
2015-11-05,42.5
2015-11-06,42.0
2015-11-09,41.45
2015-11-10,41.05
2015-11-11,41.65
2015-11-13,41.45
2015-11-16,42.0
2015-11-17,42.1
2015-11-18,41.55
2015-11-19,43.9
2015-11-20,44.2
2015-11-23,43.25
2015-11-24,42.45
2015-11-26,42.35
2015-11-27,42.05
2015-11-30,42.1
2015-12-01,42.75
2015-12-02,42.9
2015-12-03,48.55
2015-12-04,47.3
2015-12-07,45.35
2015-12-08,43.8
2015-12-09,42.5
2015-12-10,46.1
2015-12-11,45.1
2015-12-14,42.85
2015-12-15,42.15
2015-12-16,44.6
2015-12-17,45.35
2015-12-18,44.2
2015-12-21,44.65
2015-12-22,44.25
2015-12-23,44.75
2015-12-24,44.3
2015-12-28,44.0
2015-12-29,43.95
2015-12-30,44.2
2015-12-31,44.2
2016-01-01,44.4
2016-01-04,43.7
2016-01-05,45.35
2016-01-06,45.0
2016-01-07,43.05
2016-01-08,42.95
2016-01-11,42.05
2016-01-12,41.75
2016-01-13,40.8
2016-01-14,39.75
2016-01-15,38.25
2016-01-18,36.3
2016-01-19,37.2
2016-01-20,36.1
2016-01-21,35.75
2016-01-22,37.0
2016-01-25,40.4
2016-01-27,38.9
2016-01-28,36.95
2016-01-29,37.4
2016-02-01,37.5
2016-02-02,36.65
2016-02-03,35.5
2016-02-04,35.95
2016-02-05,36.4
2016-02-08,38.6
2016-02-09,38.1
2016-02-10,36.3
2016-02-11,33.8
2016-02-12,33.15
2016-02-15,35.45
2016-02-16,33.9
2016-02-17,36.05
2016-02-18,34.75
2016-02-19,34.9
2016-02-22,34.75
2016-02-23,34.05
2016-02-24,33.6
2016-02-25,33.15
2016-02-26,32.85
2016-02-29,32.85
2016-03-01,33.2
2016-03-02,34.15
2016-03-03,35.5
2016-03-04,35.4
2016-03-08,36.7
2016-03-09,36.15
2016-03-10,36.3
2016-03-11,36.15
2016-03-14,38.05
2016-03-15,37.3
2016-03-16,36.45
2016-03-17,36.95
2016-03-18,36.45
2016-03-21,36.05
2016-03-22,37.2
2016-03-23,37.75
2016-03-28,36.05
2016-03-29,35.2
2016-03-30,36.25
2016-03-31,36.0
2016-04-01,36.2
2016-04-04,37.65
2016-04-05,37.35
2016-04-06,37.1
2016-04-07,36.85
2016-04-08,36.5
2016-04-11,36.85
2016-04-12,36.7
2016-04-13,37.1
2016-04-18,37.1
2016-04-20,38.45
2016-04-21,40.55
2016-04-22,42.75
2016-04-25,41.0
2016-04-26,42.6
2016-04-27,41.65
2016-04-28,41.1
2016-04-29,39.9
2016-05-02,40.0
2016-05-03,39.65
2016-05-04,38.5
2016-05-05,37.85
2016-05-06,37.05
2016-05-09,37.55
2016-05-10,38.3
2016-05-11,37.85
2016-05-12,37.8
2016-05-13,37.4
2016-05-16,36.9
2016-05-17,36.85
2016-05-18,36.75
2016-05-19,36.05
2016-05-20,35.85
2016-05-23,35.65
2016-05-24,34.65
2016-05-25,35.2
2016-05-26,35.75
2016-05-27,36.05
2016-05-30,36.5
2016-05-31,36.35
2016-06-01,36.05
2016-06-02,35.7
2016-06-03,35.25
2016-06-06,35.0
2016-06-07,35.25
2016-06-08,37.0
2016-06-09,36.85
2016-06-10,37.15
2016-06-13,36.3
2016-06-14,40.7
2016-06-15,39.65
2016-06-16,39.9
2016-06-17,39.9
2016-06-20,39.6
2016-06-21,39.7
2016-06-22,38.85
2016-06-23,38.5
2016-06-24,37.35
2016-06-27,37.75
2016-06-28,38.05
2016-06-29,39.25
2016-06-30,40.5
2016-07-01,42.15
2016-07-04,42.3
2016-07-05,42.6
2016-07-07,42.65
2016-07-08,41.75
2016-07-11,41.85
2016-07-12,43.7
2016-07-13,43.2
2016-07-14,42.45
2016-07-15,41.95
2016-07-18,41.45
2016-07-19,42.4
2016-07-20,42.15
2016-07-21,41.9
2016-07-22,41.6
2016-07-25,42.9
2016-07-26,43.05
2016-07-27,44.0
2016-07-28,43.45
2016-07-29,43.15
2016-08-01,42.95
2016-08-02,41.2
2016-08-03,42.2
2016-08-04,42.2
2016-08-05,42.25
2016-08-08,42.1
2016-08-09,41.7
2016-08-10,41.5
2016-08-11,41.15
2016-08-12,40.6
2016-08-16,40.1
2016-08-17,40.35
2016-08-18,41.95
2016-08-19,43.55
2016-08-22,42.15
2016-08-23,41.85
2016-08-24,41.85
2016-08-25,41.45
2016-08-26,41.7
2016-08-29,41.4
2016-08-30,41.4
2016-08-31,41.45
2016-09-01,40.45
2016-09-02,42.0
2016-09-06,41.8
2016-09-07,41.9
2016-09-08,42.65
2016-09-09,42.2
2016-09-12,41.75
2016-09-14,41.55
2016-09-15,42.0
2016-09-16,41.75
2016-09-19,41.5
2016-09-20,41.3
2016-09-21,41.85
2016-09-22,41.75
2016-09-23,41.45
2016-09-26,41.05
2016-09-27,40.95
2016-09-28,41.9
2016-09-29,37.8
2016-09-30,40.75
2016-10-03,41.25
2016-10-04,43.4
2016-10-05,43.65
2016-10-06,44.0
2016-10-07,43.9
2016-10-10,43.75
2016-10-13,42.3
2016-10-14,42.75
2016-10-17,42.25
2016-10-18,42.9
2016-10-19,44.0
2016-10-20,43.8
2016-10-21,44.05
2016-10-24,45.9
2016-10-25,48.35
2016-10-26,47.25
2016-10-27,45.9
2016-10-28,44.25
2016-10-30,44.8
2016-11-01,45.65
2016-11-02,44.35
2016-11-03,44.35
2016-11-04,43.2
2016-11-07,43.9
2016-11-08,43.4
2016-11-09,42.2
2016-11-10,43.4
2016-11-11,42.5
2016-11-15,40.5
2016-11-16,40.55
2016-11-17,38.6
2016-11-18,39.85
2016-11-21,38.8
2016-11-22,38.5
2016-11-23,39.25
2016-11-24,39.5
2016-11-25,39.6
2016-11-28,40.25
2016-11-29,40.7
2016-11-30,41.15
2016-12-01,40.45
2016-12-02,39.85
2016-12-05,41.45
2016-12-06,40.6
2016-12-07,40.35
2016-12-08,41.2
2016-12-09,41.4
2016-12-12,40.3
2016-12-13,40.15
2016-12-14,40.55
2016-12-15,40.7
2016-12-16,41.55
2016-12-19,40.9
2016-12-20,40.85
2016-12-21,41.75
2016-12-22,40.65
2016-12-23,40.8
2016-12-26,39.7
2016-12-27,39.65
2016-12-28,40.05
2016-12-29,39.8
2016-12-30,40.5
2017-01-02,40.85
2017-01-03,41.15
2017-01-04,41.35
2017-01-05,42.2
2017-01-06,41.95
2017-01-09,42.85
2017-01-10,42.55
2017-01-11,43.9
2017-01-12,43.2
2017-01-13,42.75
2017-01-16,42.45
2017-01-17,42.5
2017-01-18,42.45
2017-01-19,45.75
2017-01-20,50.05
2017-01-23,55.5
2017-01-24,53.1
2017-01-25,62.6
2017-01-27,59.9
2017-01-30,56.45
2017-01-31,59.5
2017-02-01,60.65
2017-02-02,61.0
2017-02-03,59.5
2017-02-06,58.95
2017-02-07,57.8
2017-02-08,58.35
2017-02-09,58.05
2017-02-10,57.1
2017-02-13,54.65
2017-02-14,55.1
2017-02-15,52.45
2017-02-16,54.7
2017-02-17,54.55
2017-02-20,57.05
2017-02-21,58.9
2017-02-22,56.75
2017-02-23,56.55
2017-02-27,56.2
2017-02-28,57.4
2017-03-01,59.15
2017-03-02,58.15
2017-03-03,57.7
2017-03-06,57.25
2017-03-07,56.25
2017-03-08,54.2
2017-03-09,54.25
2017-03-10,53.8
2017-03-14,54.3
2017-03-15,54.85
2017-03-16,55.7
2017-03-17,54.5
2017-03-20,54.45
2017-03-21,53.95
2017-03-22,52.75
2017-03-23,56.8
2017-03-24,58.25
2017-03-27,57.2
2017-03-28,56.9
2017-03-29,56.35
2017-03-30,55.75
2017-03-31,57.4
2017-04-03,57.35
2017-04-05,58.15
2017-04-06,58.85
2017-04-07,60.2
2017-04-10,68.3
2017-04-11,65.35
2017-04-12,65.3
2017-04-13,67.3
2017-04-17,66.3
2017-04-18,65.3
2017-04-19,66.05
2017-04-20,74.3
2017-04-21,77.25
2017-04-24,75.05
2017-04-25,74.95
2017-04-26,73.9
2017-04-27,71.8
2017-04-28,72.6
2017-05-02,73.05
2017-05-03,78.95
2017-05-04,79.1
2017-05-05,76.55
2017-05-08,85.7
2017-05-09,88.6
2017-05-10,87.9
2017-05-11,89.45
2017-05-12,88.45
2017-05-15,95.9
2017-05-16,98.35
2017-05-17,99.85
2017-05-18,98.35
2017-05-19,97.3
2017-05-22,93.8
2017-05-23,84.3
2017-05-24,80.85
2017-05-25,84.25
2017-05-26,87.95
2017-05-29,85.1
2017-05-30,83.1
2017-05-31,81.55
2017-06-01,81.65
2017-06-02,81.85
2017-06-05,81.05
2017-06-06,77.4
2017-06-07,74.2
2017-06-08,76.65
2017-06-09,76.45
2017-06-12,76.2
2017-06-13,78.3
2017-06-14,73.0
2017-06-15,74.9
2017-06-16,70.05
2017-06-19,58.7
2017-06-20,64.15
2017-06-21,76.9
2017-06-22,69.0
2017-06-23,69.6
2017-06-27,68.4
2017-06-28,66.05
2017-06-29,67.55
2017-06-30,67.6
2017-07-03,67.15
2017-07-04,66.2
2017-07-05,68.65
2017-07-06,67.75
2017-07-07,66.5
2017-07-10,67.45
2017-07-11,66.95
2017-07-12,66.35
2017-07-13,64.6
2017-07-14,62.05
2017-07-17,64.35
2017-07-18,63.75
2017-07-19,64.85
2017-07-20,63.85
2017-07-21,65.1
2017-07-24,64.7
2017-07-25,65.55
2017-07-26,74.8
2017-07-27,70.8
2017-07-28,71.4
2017-07-31,73.15
2017-08-01,71.3
2017-08-02,70.2
2017-08-03,67.35
2017-08-04,68.1
2017-08-07,72.5
2017-08-08,68.95
2017-08-09,67.25
2017-08-10,65.3
2017-08-11,63.7
2017-08-14,65.65
2017-08-16,73.25
2017-08-17,71.15
2017-08-18,68.4
2017-08-21,68.2
2017-08-22,68.5
2017-08-23,70.1
2017-08-24,69.95
2017-08-28,70.0
2017-08-29,68.05
2017-08-30,70.35
2017-08-31,69.6
2017-09-01,70.0
2017-09-04,68.65
2017-09-05,70.05
2017-09-06,66.35
2017-09-07,68.85
2017-09-08,68.45
2017-09-11,68.25
2017-09-12,67.8
2017-09-13,67.15
2017-09-14,67.7
