Date,EIHAHOTELS
2013-01-01,118.45
2013-01-02,112.75
2013-01-03,117.05
2013-01-04,116.4
2013-01-07,117.55
2013-01-08,117.8
2013-01-09,115.75
2013-01-10,116.1
2013-01-11,117.4
2013-01-14,118.55
2013-01-15,115.85
2013-01-16,118.25
2013-01-17,121.6
2013-01-18,117.25
2013-01-21,118.1
2013-01-22,117.9
2013-01-23,116.3
2013-01-24,114.25
2013-01-25,114.45
2013-01-28,115.95
2013-01-29,114.1
2013-01-30,113.85
2013-01-31,113.1
2013-02-01,112.25
2013-02-04,112.95
2013-02-05,111.45
2013-02-06,112.55
2013-02-07,113.0
2013-02-08,110.0
2013-02-11,109.3
2013-02-12,111.7
2013-02-13,111.1
2013-02-14,109.85
2013-02-15,110.0
2013-02-18,109.7
2013-02-19,112.25
2013-02-20,111.65
2013-02-21,112.25
2013-02-22,110.65
2013-02-25,110.15
2013-02-26,110.25
2013-02-27,111.1
2013-02-28,110.9
2013-03-01,111.15
2013-03-04,105.25
2013-03-05,109.8
2013-03-06,110.2
2013-03-07,109.55
2013-03-08,109.65
2013-03-11,110.0
2013-03-12,111.0
2013-03-13,110.0
2013-03-14,110.0
2013-03-15,111.05
2013-03-18,110.0
2013-03-19,110.0
2013-03-20,110.05
2013-03-21,110.05
2013-03-22,110.0
2013-03-25,110.05
2013-03-26,108.2
2013-03-28,107.35
2013-04-01,112.0
2013-04-02,114.6
2013-04-03,110.2
2013-04-04,110.0
2013-04-05,112.4
2013-04-08,110.45
2013-04-09,109.05
2013-04-10,113.0
2013-04-11,115.7
2013-04-12,112.5
2013-04-16,113.95
2013-04-17,110.7
2013-04-18,110.45
2013-04-22,108.6
2013-04-23,109.2
2013-04-25,109.55
2013-04-26,110.0
2013-04-29,109.0
2013-04-30,110.0
2013-05-02,109.65
2013-05-03,110.1
2013-05-06,109.5
2013-05-07,108.6
2013-05-08,111.15
2013-05-09,113.4
2013-05-10,109.65
2013-05-11,112.3
2013-05-13,111.95
2013-05-14,109.75
2013-05-15,108.65
2013-05-16,109.5
2013-05-17,109.8
2013-05-20,108.9
2013-05-21,108.55
2013-05-22,108.3
2013-05-23,106.0
2013-05-24,107.95
2013-05-27,105.2
2013-05-28,106.5
2013-05-29,107.1
2013-05-30,105.0
2013-05-31,105.65
2013-06-03,105.85
2013-06-04,106.95
2013-06-05,105.0
2013-06-06,106.8
2013-06-07,105.0
2013-06-10,105.0
2013-06-11,105.1
2013-06-12,105.0
2013-06-13,106.05
2013-06-14,108.25
2013-06-17,110.0
2013-06-18,113.65
2013-06-19,113.0
2013-06-20,113.0
2013-06-21,113.35
2013-06-24,113.0
2013-06-25,113.0
2013-06-26,111.15
2013-06-27,110.0
2013-06-28,110.0
2013-07-01,110.0
2013-07-02,110.0
2013-07-03,113.1
2013-07-04,115.05
2013-07-05,115.3
2013-07-08,117.9
2013-07-09,119.0
2013-07-10,116.3
2013-07-11,115.65
2013-07-12,115.0
2013-07-15,115.1
2013-07-16,115.1
2013-07-17,115.0
2013-07-18,117.0
2013-07-19,115.2
2013-07-22,115.4
2013-07-23,113.3
2013-07-24,113.0
2013-07-25,113.0
2013-07-26,113.0
2013-07-29,113.0
2013-07-30,113.0
2013-07-31,112.95
2013-08-01,112.75
2013-08-02,111.0
2013-08-05,111.0
2013-08-06,110.55
2013-08-07,110.95
2013-08-08,113.2
2013-08-12,110.5
2013-08-13,110.0
2013-08-14,111.0
2013-08-16,110.1
2013-08-19,110.05
2013-08-20,110.0
2013-08-21,110.05
2013-08-22,112.0
2013-08-23,110.0
2013-08-26,110.0
2013-08-27,110.0
2013-08-28,109.05
2013-08-29,113.6
2013-08-30,109.1
2013-09-02,110.0
2013-09-03,110.0
2013-09-04,112.45
2013-09-05,113.25
2013-09-06,111.05
2013-09-10,110.0
2013-09-11,109.6
2013-09-12,110.4
2013-09-13,109.6
2013-09-16,110.85
2013-09-17,110.1
2013-09-18,111.8
2013-09-19,112.0
2013-09-20,112.65
2013-09-23,112.25
2013-09-24,112.0
2013-09-25,112.0
2013-09-26,111.75
2013-09-27,110.3
2013-09-30,112.65
2013-10-01,112.2
2013-10-03,111.85
2013-10-04,112.7
2013-10-07,111.05
2013-10-08,110.3
2013-10-09,110.55
2013-10-10,110.1
