Date,GALLISPAT
2013-01-01,66.55
2013-01-02,71.85
2013-01-03,71.45
2013-01-04,67.85
2013-01-07,68.6
2013-01-08,66.55
2013-01-09,66.45
2013-01-10,66.8
2013-01-11,66.05
2013-01-14,65.55
2013-01-15,71.4
2013-01-16,72.0
2013-01-17,72.9
2013-01-18,70.0
2013-01-21,73.5
2013-01-22,69.1
2013-01-23,68.65
2013-01-24,71.45
2013-01-25,68.1
2013-01-28,69.5
2013-01-29,70.5
2013-01-30,71.35
2013-01-31,70.0
2013-02-01,69.45
2013-02-04,71.05
2013-02-05,71.35
2013-02-06,71.45
2013-02-07,71.5
2013-02-08,71.25
2013-02-11,71.0
2013-02-12,72.6
2013-02-13,71.25
2013-02-14,72.4
2013-02-15,76.6
2013-02-18,73.2
2013-02-19,78.0
2013-02-20,77.0
2013-02-21,75.1
2013-02-22,76.0
2013-02-25,76.0
2013-02-26,76.0
2013-02-27,71.25
2013-02-28,71.85
2013-03-01,70.05
2013-03-04,68.85
2013-03-05,66.85
2013-03-06,65.45
2013-03-07,68.0
2013-03-08,67.05
2013-03-11,67.5
2013-03-12,75.0
2013-03-13,77.3
2013-03-14,79.85
2013-03-15,75.55
2013-03-18,80.75
2013-03-19,76.45
2013-03-20,61.65
2013-03-21,62.25
2013-03-22,61.2
2013-03-25,65.05
2013-03-26,62.1
2013-03-28,74.5
2013-04-01,74.6
2013-04-02,73.3
2013-04-03,75.0
2013-04-04,80.45
2013-04-05,75.25
2013-04-08,72.1
2013-04-09,72.5
2013-04-10,70.5
2013-04-12,74.05
2013-04-15,73.9
2013-04-16,69.35
2013-04-17,69.1
2013-04-18,69.95
2013-04-22,69.7
2013-04-23,66.25
2013-04-25,68.0
2013-04-29,67.0
2013-04-30,68.8
2013-05-02,67.25
2013-05-03,65.05
2013-05-06,65.1
2013-05-07,65.2
2013-05-08,65.5
2013-05-09,68.7
2013-05-10,68.05
2013-05-13,69.7
2013-05-14,70.85
2013-05-15,71.8
2013-05-16,69.65
2013-05-17,70.0
2013-05-20,70.05
2013-05-21,70.0
2013-05-22,72.2
2013-05-23,74.1
2013-05-24,74.45
2013-05-27,74.8
2013-05-28,76.0
2013-05-29,72.2
2013-05-30,75.15
2013-05-31,75.0
2013-06-03,75.0
2013-06-04,79.45
2013-06-05,78.45
2013-06-06,80.0
2013-06-07,80.5
2013-06-10,81.0
2013-06-11,80.05
2013-06-12,80.5
2013-06-13,80.45
2013-06-14,80.0
2013-06-17,80.1
2013-06-18,78.85
2013-06-19,82.1
2013-06-20,82.65
2013-06-21,86.0
2013-06-24,82.35
2013-06-25,81.85
2013-06-26,80.05
2013-06-27,86.05
2013-06-28,83.9
2013-07-01,76.1
2013-07-02,80.0
2013-07-03,75.65
2013-07-04,78.25
2013-07-05,80.0
2013-07-08,76.15
2013-07-09,78.95
2013-07-10,76.55
2013-07-11,80.95
2013-07-12,76.0
2013-07-15,75.95
2013-07-16,75.15
2013-07-17,74.05
2013-07-18,75.25
2013-07-19,75.3
2013-07-22,72.35
2013-07-23,71.25
2013-07-24,72.35
2013-07-25,68.25
2013-07-26,71.0
2013-07-29,68.9
2013-07-30,76.25
2013-07-31,77.0
2013-08-01,75.95
2013-08-02,80.5
2013-08-05,80.05
2013-08-06,76.25
2013-08-07,78.55
2013-08-08,79.0
2013-08-12,82.8
2013-08-13,85.2
2013-08-14,87.0
2013-08-16,85.15
2013-08-19,90.0
2013-08-20,89.2
2013-08-21,95.15
2013-08-22,93.35
2013-08-23,88.65
2013-08-26,92.0
2013-08-27,93.0
2013-08-28,89.85
2013-08-29,88.0
2013-08-30,98.35
2013-09-02,105.5
2013-09-03,109.1
2013-09-04,113.05
2013-09-05,134.9
2013-09-06,138.75
2013-09-10,148.2
2013-09-11,155.8
2013-09-12,158.3
2013-09-13,159.65
2013-09-16,168.75
2013-09-17,176.65
2013-09-18,189.85
2013-09-19,195.5
2013-09-20,194.2
2013-09-23,192.05
2013-09-24,202.6
2013-09-25,207.9
2013-09-26,216.4
2013-09-27,224.7
2013-09-30,227.5
2013-10-01,230.55
2013-10-03,237.5
2013-10-04,246.45
2013-10-07,250.25
2013-10-08,258.6
2013-10-09,267.0
2013-10-10,273.3
2013-10-11,282.7
2013-10-14,283.2
2013-10-15,282.0
2013-10-17,282.95
2013-10-18,290.35
2013-10-21,300.2
2013-10-22,310.8
2013-10-23,319.1
2013-10-24,328.5
2013-10-25,344.9
2013-10-28,336.6
2013-10-29,321.65
2013-10-30,306.85
2013-10-31,291.85
2013-11-01,301.05
2013-11-03,306.25
2013-11-05,304.95
2013-11-06,298.6
2013-11-07,294.0
2013-11-08,288.3
2013-11-11,292.75
2013-11-12,289.8
2013-11-13,287.55
2013-11-14,287.35
2013-11-18,287.05
2013-11-19,273.0
2013-11-20,275.0
2013-11-21,273.0
2013-11-22,270.7
2013-11-25,268.75
2013-11-26,271.8
2013-11-27,271.05
2013-11-28,270.2
2013-11-29,270.55
2013-12-02,270.5
2013-12-03,270.6
2013-12-04,270.5
2013-12-05,270.6
2013-12-06,270.5
2013-12-09,270.65
2013-12-10,270.45
2013-12-11,270.65
2013-12-12,270.55
2013-12-13,270.6
2013-12-16,269.9
2013-12-17,270.6
2013-12-18,269.55
2013-12-19,270.3
2013-12-20,270.6
2013-12-23,270.0
2013-12-24,270.0
2013-12-26,270.0
2013-12-27,270.5
2013-12-30,266.8
2013-12-31,266.0
2014-01-01,266.0
2014-01-02,265.2
2014-01-03,264.25
2014-01-06,260.4
2014-01-07,258.0
2014-01-08,258.3
2014-01-09,257.15
2014-01-10,257.0
2014-01-13,257.4
2014-01-14,257.0
2014-01-15,271.1
2014-01-16,270.2
2014-01-17,269.0
2014-01-20,269.85
2014-01-21,272.25
2014-01-22,273.45
2014-01-23,272.0
2014-01-24,272.0
2014-01-27,271.45
2014-01-28,271.5
2014-01-29,273.1
2014-01-30,274.0
2014-01-31,272.65
2014-02-03,272.1
2014-02-04,271.25
2014-02-05,271.35
2014-02-06,271.95
2014-02-07,274.7
2014-02-10,285.35
2014-02-11,306.4
2014-02-12,307.55
2014-02-13,307.55
2014-02-14,309.35
2014-02-17,307.5
2014-02-18,304.7
2014-02-19,301.45
2014-02-20,301.05
2014-02-21,300.5
2014-02-24,299.7
2014-02-25,299.9
2014-02-26,298.5
2014-02-28,289.5
2014-03-03,290.25
2014-03-04,293.35
2014-03-05,291.5
