Date,GEOJITFSL
2013-01-01,24.7
2013-01-02,24.7
2013-01-03,25.85
2013-01-04,25.7
2013-01-07,25.75
2013-01-08,26.0
2013-01-09,25.95
2013-01-10,25.95
2013-01-11,26.0
2013-01-14,26.6
2013-01-15,25.8
2013-01-16,25.5
2013-01-17,25.5
2013-01-18,25.15
2013-01-21,25.1
2013-01-22,24.65
2013-01-23,24.45
2013-01-24,23.65
2013-01-25,23.9
2013-01-28,24.0
2013-01-29,23.65
2013-01-30,23.75
2013-01-31,23.6
2013-02-01,23.6
2013-02-04,23.4
2013-02-05,23.0
2013-02-06,23.05
2013-02-07,23.45
2013-02-08,23.65
2013-02-11,23.75
2013-02-12,23.1
2013-02-13,23.1
2013-02-14,22.9
2013-02-15,22.65
2013-02-18,22.6
2013-02-19,22.65
2013-02-20,22.6
2013-02-21,22.25
2013-02-22,22.95
2013-02-25,22.5
2013-02-26,21.9
2013-02-27,22.55
2013-02-28,22.0
2013-03-01,22.5
2013-03-04,21.75
2013-03-05,21.9
2013-03-06,22.15
2013-03-07,21.75
2013-03-08,21.95
2013-03-11,21.9
2013-03-12,22.1
2013-03-13,21.95
2013-03-14,22.0
2013-03-15,21.9
2013-03-18,22.8
2013-03-19,22.05
2013-03-20,21.4
2013-03-21,20.15
2013-03-22,19.55
2013-03-25,19.35
2013-03-26,19.25
2013-03-28,19.25
2013-04-01,19.7
2013-04-02,21.95
2013-04-03,20.95
2013-04-04,20.2
2013-04-05,20.0
2013-04-08,19.7
2013-04-09,19.7
2013-04-10,20.0
2013-04-11,20.35
2013-04-12,20.2
2013-04-15,21.05
2013-04-16,22.0
2013-04-17,22.1
2013-04-18,21.95
2013-04-22,22.9
2013-04-23,23.8
2013-04-25,23.75
2013-04-26,22.85
2013-04-29,22.85
2013-04-30,22.8
2013-05-02,23.05
2013-05-03,22.85
2013-05-06,22.85
2013-05-07,23.4
2013-05-08,23.3
2013-05-09,23.6
2013-05-10,23.5
2013-05-11,23.4
2013-05-13,22.8
2013-05-14,22.7
2013-05-15,23.35
2013-05-16,23.95
2013-05-17,24.75
2013-05-20,23.95
2013-05-21,24.15
2013-05-22,23.7
2013-05-23,22.05
2013-05-24,22.15
2013-05-27,22.2
2013-05-28,22.0
2013-05-29,22.0
2013-05-30,21.7
2013-05-31,21.7
2013-06-03,21.6
2013-06-04,21.35
2013-06-05,21.55
2013-06-06,21.45
2013-06-07,21.7
2013-06-10,21.15
2013-06-11,20.75
2013-06-12,20.35
2013-06-13,20.4
2013-06-14,20.65
2013-06-17,20.3
2013-06-18,20.3
2013-06-19,20.25
2013-06-20,20.0
2013-06-21,20.05
2013-06-24,19.75
2013-06-25,19.6
2013-06-26,19.65
2013-06-27,19.95
2013-06-28,20.25
2013-07-01,20.5
2013-07-02,22.65
2013-07-03,23.5
2013-07-04,22.75
2013-07-05,22.3
2013-07-08,22.5
2013-07-09,22.8
2013-07-10,22.75
2013-07-11,23.0
2013-07-12,21.9
2013-07-15,22.5
2013-07-16,22.35
2013-07-17,21.8
2013-07-18,21.7
2013-07-19,22.0
2013-07-22,21.5
