Date,KCPSUGIND
2013-01-01,23.0
2013-01-02,23.55
2013-01-03,23.1
2013-01-04,23.15
2013-01-07,23.35
2013-01-08,23.35
2013-01-09,23.5
2013-01-10,23.2
2013-01-11,22.7
2013-01-14,23.0
2013-01-15,23.25
2013-01-16,22.9
2013-01-17,22.7
2013-01-18,22.8
2013-01-21,22.35
2013-01-22,21.9
2013-01-23,21.95
2013-01-24,21.4
2013-01-25,21.55
2013-01-28,21.45
2013-01-29,21.7
2013-01-30,21.65
2013-01-31,21.1
2013-02-01,20.85
2013-02-04,20.75
2013-02-05,21.75
2013-02-06,22.25
2013-02-07,22.7
2013-02-08,20.85
2013-02-11,20.85
2013-02-12,20.85
2013-02-13,20.95
2013-02-14,20.45
2013-02-15,20.5
2013-02-18,22.6
2013-02-19,22.35
2013-02-20,21.45
2013-02-21,20.95
2013-02-22,20.8
2013-02-25,20.2
2013-02-26,19.8
2013-02-27,20.1
2013-02-28,19.25
2013-03-01,19.9
2013-03-04,19.35
2013-03-05,19.9
2013-03-06,19.9
2013-03-07,19.95
2013-03-08,20.0
2013-03-11,20.05
2013-03-12,19.9
2013-03-13,19.85
2013-03-14,19.9
2013-03-15,19.35
2013-03-18,19.45
2013-03-19,18.95
2013-03-20,18.6
2013-03-21,18.3
2013-03-22,18.05
2013-03-25,17.6
2013-03-26,17.65
2013-03-28,18.05
2013-04-01,18.65
2013-04-02,19.25
2013-04-03,18.85
2013-04-04,19.5
2013-04-05,20.4
2013-04-08,19.6
2013-04-09,18.95
2013-04-10,18.45
2013-04-11,18.55
2013-04-12,18.8
2013-04-15,18.85
2013-04-16,18.65
2013-04-17,18.5
2013-04-18,18.7
2013-04-22,18.9
2013-04-23,18.75
2013-04-25,18.3
2013-04-26,18.05
2013-04-29,17.85
2013-04-30,17.4
2013-05-02,17.5
2013-05-03,17.65
2013-05-06,17.7
2013-05-07,18.75
2013-05-08,19.1
2013-05-09,19.0
2013-05-10,18.65
2013-05-11,18.35
2013-05-13,18.5
2013-05-14,18.3
2013-05-15,18.45
2013-05-16,18.1
2013-05-17,17.85
2013-05-20,18.0
2013-05-21,18.55
2013-05-22,17.85
2013-05-23,17.9
2013-05-24,17.75
2013-05-27,17.8
2013-05-28,17.75
2013-05-29,17.8
2013-05-30,18.3
2013-05-31,18.05
2013-06-03,18.0
2013-06-04,18.0
2013-06-05,18.05
2013-06-06,18.6
2013-06-07,18.4
2013-06-10,18.05
2013-06-11,17.7
2013-06-12,17.7
2013-06-13,17.55
2013-06-14,17.4
2013-06-17,17.25
2013-06-18,17.3
2013-06-19,17.15
2013-06-20,17.45
2013-06-21,17.0
2013-06-24,16.9
2013-06-25,17.05
2013-06-26,16.9
2013-06-27,16.95
2013-06-28,17.35
2013-07-01,17.75
2013-07-02,17.35
2013-07-03,17.35
2013-07-04,17.6
2013-07-05,17.3
2013-07-08,16.9
2013-07-09,17.45
2013-07-10,17.5
2013-07-11,17.4
2013-07-12,17.6
2013-07-15,17.4
2013-07-16,17.7
2013-07-17,17.45
2013-07-18,17.65
2013-07-19,17.5
2013-07-22,17.5
2013-07-23,17.5
2013-07-24,17.15
2013-07-25,17.0
2013-07-26,16.8
2013-07-29,17.25
2013-07-30,16.75
2013-07-31,16.45
2013-08-01,16.2
2013-08-02,16.15
2013-08-05,16.3
2013-08-06,15.95
2013-08-07,15.95
2013-08-08,15.95
2013-08-12,17.4
2013-08-13,17.8
2013-08-14,18.5
2013-08-16,18.8
2013-08-19,18.55
2013-08-20,18.3
2013-08-21,16.45
2013-08-22,16.5
2013-08-23,16.35
2013-08-26,16.15
