Date,LINCOLN
2015-12-17,218.65
2015-12-18,215.2
2015-12-21,223.9
2015-12-22,220.85
2015-12-23,219.4
2015-12-24,223.7
2015-12-28,233.8
2015-12-29,241.5
2015-12-30,242.35
2015-12-31,247.3
2016-01-01,243.45
2016-01-04,251.25
2016-01-05,288.55
2016-01-06,287.8
2016-01-07,272.5
2016-01-08,289.7
2016-01-11,285.15
2016-01-12,275.25
2016-01-13,247.35
2016-01-14,233.75
2016-01-15,224.05
2016-01-18,179.25
2016-01-19,173.35
2016-01-20,182.05
2016-01-21,189.85
2016-01-22,186.2
2016-01-25,183.55
2016-01-27,188.8
2016-01-28,186.1
2016-01-29,185.4
2016-02-01,190.85
2016-02-02,178.3
2016-02-03,171.15
2016-02-04,174.45
2016-02-05,186.6
2016-02-08,178.55
2016-02-09,174.5
2016-02-10,174.9
2016-02-11,156.95
2016-02-12,156.75
2016-02-15,162.2
2016-02-16,150.7
2016-02-17,152.1
2016-02-18,155.25
2016-02-19,160.8
2016-02-22,162.25
2016-02-23,154.15
2016-02-24,155.05
2016-02-25,152.85
2016-02-26,147.95
2016-02-29,146.45
2016-03-01,155.3
2016-03-02,160.7
2016-03-03,160.9
2016-03-04,163.9
2016-03-08,159.2
2016-03-09,159.55
2016-03-10,162.25
2016-03-11,158.05
2016-03-14,156.85
2016-03-15,152.8
2016-03-16,146.8
2016-03-17,149.25
2016-03-18,147.35
2016-03-21,148.5
2016-03-22,149.4
2016-03-23,159.65
2016-03-28,152.35
2016-03-29,150.65
2016-03-30,154.9
2016-03-31,157.4
2016-04-01,156.4
2016-04-04,155.8
2016-04-05,153.05
2016-04-06,157.25
2016-04-07,155.7
2016-04-08,154.35
2016-04-11,157.9
2016-04-12,157.1
2016-04-13,156.15
2016-04-18,156.0
2016-04-20,155.55
2016-04-21,160.5
2016-04-22,160.8
2016-04-25,158.4
2016-04-26,156.55
2016-04-27,156.15
2016-04-28,154.0
2016-04-29,153.9
2016-05-02,153.0
2016-05-03,155.05
2016-05-04,153.45
2016-05-05,152.75
2016-05-06,152.3
2016-05-09,153.25
2016-05-10,153.3
2016-05-11,152.85
2016-05-12,153.75
2016-05-13,152.8
2016-05-16,154.6
2016-05-17,154.05
2016-05-18,152.15
2016-05-19,149.05
2016-05-20,144.8
2016-05-23,141.8
2016-05-24,135.1
2016-05-25,131.05
2016-05-26,129.05
2016-05-27,150.6
2016-05-30,150.0
2016-05-31,146.05
2016-06-01,146.35
2016-06-02,147.4
2016-06-03,144.95
2016-06-06,141.05
2016-06-07,135.8
2016-06-08,139.5
2016-06-09,144.4
2016-06-10,141.45
2016-06-13,139.45
2016-06-14,139.75
2016-06-15,139.65
2016-06-16,140.05
2016-06-17,139.4
2016-06-20,141.0
2016-06-21,148.2
2016-06-22,146.9
2016-06-23,149.15
2016-06-24,148.45
2016-06-27,150.5
2016-06-28,149.65
2016-06-29,149.55
2016-06-30,150.05
2016-07-01,149.35
2016-07-04,152.0
2016-07-05,152.0
2016-07-07,161.9
2016-07-08,173.45
2016-07-11,177.35
2016-07-12,177.4
2016-07-13,168.5
2016-07-14,170.15
2016-07-15,169.65
2016-07-18,170.45
2016-07-19,169.2
2016-07-20,177.95
2016-07-21,176.65
2016-07-22,176.35
2016-07-25,177.4
2016-07-26,172.7
2016-07-27,173.9
2016-07-28,173.0
2016-07-29,174.6
2016-08-01,192.75
2016-08-02,189.75
2016-08-03,188.4
2016-08-04,188.75
2016-08-05,209.15
2016-08-08,209.9
2016-08-09,210.65
2016-08-10,208.7
2016-08-11,224.0
2016-08-12,230.4
2016-08-16,226.15
2016-08-17,219.1
2016-08-18,216.2
2016-08-19,212.15
2016-08-22,213.0
2016-08-23,216.1
2016-08-24,212.75
2016-08-25,212.25
2016-08-26,213.75
2016-08-29,218.5
2016-08-30,231.5
2016-08-31,228.5
2016-09-01,238.1
2016-09-02,245.35
2016-09-06,251.15
2016-09-07,241.3
2016-09-08,232.75
2016-09-09,238.3
2016-09-12,231.5
2016-09-14,230.45
2016-09-15,230.25
2016-09-16,229.25
2016-09-19,231.55
2016-09-20,233.45
2016-09-21,232.65
2016-09-22,236.8
2016-09-23,248.9
2016-09-26,246.15
2016-09-27,243.4
2016-09-28,242.1
2016-09-29,221.2
2016-09-30,225.2
2016-10-03,235.45
2016-10-04,240.75
2016-10-05,236.7
2016-10-06,232.4
2016-10-07,229.0
2016-10-10,233.0
2016-10-13,228.25
2016-10-14,231.35
2016-10-17,226.3
2016-10-18,230.7
2016-10-19,237.65
2016-10-20,240.1
2016-10-21,246.65
2016-10-24,246.55
2016-10-25,246.3
2016-10-26,241.5
2016-10-27,235.0
2016-10-28,232.95
2016-10-30,236.55
2016-11-01,236.3
2016-11-02,229.2
2016-11-03,225.9
2016-11-04,212.7
2016-11-07,216.8
2016-11-08,220.4
2016-11-09,218.3
2016-11-10,206.95
2016-11-11,199.4
2016-11-15,184.6
2016-11-16,176.45
2016-11-17,178.15
2016-11-18,183.6
2016-11-21,175.85
2016-11-22,179.65
2016-11-23,182.8
2016-11-24,186.95
2016-11-25,191.2
2016-11-28,195.25
2016-11-29,196.65
2016-11-30,193.85
2016-12-01,195.95
2016-12-02,192.7
2016-12-05,193.35
2016-12-06,194.2
2016-12-07,191.75
2016-12-08,194.0
2016-12-09,191.55
2016-12-12,190.0
2016-12-13,189.95
2016-12-14,186.75
2016-12-15,187.7
2016-12-16,196.15
2016-12-19,195.75
2016-12-20,195.45
2016-12-21,194.75
2016-12-22,188.6
2016-12-23,186.85
2016-12-26,176.75
2016-12-27,179.65
2016-12-28,181.65
2016-12-29,183.65
2016-12-30,186.0
2017-01-02,187.35
2017-01-03,188.1
2017-01-04,192.0
2017-01-05,192.65
2017-01-06,192.5
2017-01-09,203.0
2017-01-10,201.25
2017-01-11,197.3
2017-01-12,191.8
2017-01-13,192.55
2017-01-16,198.0
2017-01-17,199.4
2017-01-18,202.6
2017-01-19,208.8
2017-01-20,204.2
2017-01-23,208.7
2017-01-24,207.75
2017-01-25,205.55
2017-01-27,203.8
2017-01-30,198.7
2017-01-31,194.85
2017-02-01,196.45
2017-02-02,199.7
2017-02-03,201.95
2017-02-06,202.9
2017-02-07,200.1
2017-02-08,196.85
2017-02-09,195.05
2017-02-10,195.8
2017-02-13,195.15
2017-02-14,191.6
2017-02-15,187.85
2017-02-16,194.1
2017-02-17,194.15
2017-02-20,192.55
2017-02-21,191.95
2017-02-22,192.5
2017-02-23,195.35
2017-02-27,203.95
2017-02-28,244.7
2017-03-01,237.85
2017-03-02,239.95
2017-03-03,239.15
2017-03-06,238.0
2017-03-07,240.95
2017-03-08,236.4
2017-03-09,237.55
2017-03-10,236.9
2017-03-14,236.7
2017-03-15,236.75
2017-03-16,235.45
2017-03-17,232.8
2017-03-20,233.2
2017-03-21,235.15
2017-03-22,231.15
2017-03-23,230.65
2017-03-24,229.85
2017-03-27,228.95
2017-03-28,233.8
2017-03-29,240.05
2017-03-30,239.75
2017-03-31,235.8
2017-04-03,239.05
2017-04-05,236.6
2017-04-06,234.4
2017-04-07,234.35
2017-04-10,232.4
2017-04-11,230.1
2017-04-12,227.8
2017-04-13,228.55
2017-04-17,229.5
2017-04-18,229.05
2017-04-19,226.3
2017-04-20,228.3
2017-04-21,225.9
2017-04-24,222.55
2017-04-25,223.85
2017-04-26,223.2
2017-04-27,218.95
2017-04-28,215.2
2017-05-02,220.0
2017-05-03,217.25
2017-05-04,219.6
2017-05-05,220.2
2017-05-08,221.0
2017-05-09,222.0
2017-05-10,223.85
2017-05-11,227.8
2017-05-12,222.5
2017-05-15,222.15
2017-05-16,225.45
2017-05-17,225.65
2017-05-18,223.4
2017-05-19,216.75
