Date,MAYURUNIQ
2013-01-01,479.85
2013-01-02,484.9
2013-01-03,476.95
2013-01-04,476.5
2013-01-07,473.1
2013-01-08,480.85
2013-01-09,483.15
2013-01-10,485.05
2013-01-11,485.4
2013-01-14,475.9
2013-01-15,475.2
2013-01-16,469.9
2013-01-17,474.9
2013-01-18,475.05
2013-01-21,474.65
2013-01-22,475.2
2013-01-23,475.9
2013-01-24,467.35
2013-01-25,472.25
2013-01-28,469.9
2013-01-29,470.7
2013-01-30,470.0
2013-01-31,477.45
2013-02-01,479.9
2013-02-04,477.05
2013-02-05,474.45
2013-02-06,475.35
2013-02-07,478.4
2013-02-08,478.35
2013-02-11,480.8
2013-02-12,465.3
2013-02-13,465.7
2013-02-14,462.4
2013-02-15,444.45
2013-02-18,434.8
2013-02-19,427.95
2013-02-20,435.6
2013-02-21,426.25
2013-02-22,424.85
2013-02-25,426.1
2013-02-26,421.8
2013-02-27,421.05
2013-02-28,421.65
2013-03-01,420.5
2013-03-04,414.05
2013-03-05,415.95
2013-03-06,420.55
2013-03-07,423.95
2013-03-08,426.65
2013-03-11,434.9
2013-03-12,435.5
2013-03-13,435.0
2013-03-14,434.0
2013-03-15,435.15
2013-03-18,436.45
2013-03-19,436.4
2013-03-20,414.6
2013-03-21,405.6
2013-03-22,408.0
2013-03-25,400.6
2013-03-26,414.3
2013-03-28,409.95
2013-04-01,406.8
2013-04-02,412.15
2013-04-03,410.6
2013-04-04,410.95
2013-04-05,411.5
2013-04-08,409.05
2013-04-09,405.5
2013-04-10,412.45
2013-04-11,420.05
2013-04-12,406.1
2013-04-15,414.15
2013-04-16,415.8
2013-04-17,412.05
2013-04-18,410.15
2013-04-22,417.75
2013-04-23,423.3
2013-04-25,402.7
2013-04-26,411.4
2013-04-29,421.8
2013-04-30,408.95
2013-05-02,410.3
2013-05-03,411.2
2013-05-06,413.0
2013-05-07,414.85
2013-05-08,419.6
2013-05-09,418.6
2013-05-10,418.75
2013-05-11,412.0
2013-05-13,419.8
2013-05-14,419.55
2013-05-15,452.15
2013-05-16,442.45
2013-05-17,441.05
2013-05-20,441.15
2013-05-21,450.45
2013-05-22,436.8
2013-05-23,432.5
2013-05-24,436.4
2013-05-27,436.0
2013-05-28,430.15
2013-05-29,435.35
2013-05-30,429.1
2013-05-31,430.5
2013-06-03,439.2
2013-06-04,433.05
2013-06-05,434.8
2013-06-06,431.85
2013-06-07,437.1
2013-06-10,432.65
2013-06-11,432.0
2013-06-12,438.6
2013-06-13,433.6
