Date,RNAVAL
2013-01-01,91.25
2013-01-02,90.8
2013-01-03,90.25
2013-01-04,90.45
2013-01-07,90.6
2013-01-08,90.65
2013-01-09,86.15
2013-01-10,89.3
2013-01-11,87.6
2013-01-14,86.3
2013-01-15,86.4
2013-01-16,85.9
2013-01-17,86.25
2013-01-18,86.1
2013-01-21,87.8
2013-01-22,88.45
2013-01-23,89.0
2013-01-24,87.8
2013-01-25,87.05
2013-01-28,86.95
2013-01-29,86.65
2013-01-30,86.45
2013-01-31,87.65
2013-02-01,88.85
2013-02-04,87.6
2013-02-05,86.6
2013-02-06,86.7
2013-02-07,85.95
2013-02-08,86.15
2013-02-11,85.8
2013-02-12,85.2
2013-02-13,85.45
2013-02-14,85.15
2013-02-15,84.9
2013-02-18,84.7
2013-02-19,84.55
2013-02-20,84.55
2013-02-21,84.0
2013-02-22,83.9
2013-02-25,82.9
2013-02-26,81.85
2013-02-27,77.8
2013-02-28,73.95
2013-03-01,70.3
2013-03-04,66.9
2013-03-05,68.5
2013-03-06,68.65
2013-03-07,68.6
2013-03-08,68.75
2013-03-11,67.35
2013-03-12,67.7
2013-03-13,67.75
2013-03-14,68.9
2013-03-15,70.95
2013-03-18,70.05
2013-03-19,70.0
2013-03-20,70.1
2013-03-21,70.1
2013-03-22,70.05
2013-03-25,70.15
2013-03-26,70.15
2013-03-28,73.45
2013-04-01,74.3
2013-04-02,75.3
2013-04-03,74.6
2013-04-04,74.65
2013-04-05,74.6
2013-04-08,74.85
2013-04-09,74.75
2013-04-10,74.85
2013-04-11,74.65
2013-04-12,74.45
2013-04-15,74.0
2013-04-16,73.45
2013-04-17,73.5
2013-04-18,73.65
2013-04-22,73.75
2013-04-23,73.75
2013-04-25,73.6
2013-04-26,72.55
2013-04-29,72.3
2013-04-30,71.85
2013-05-02,71.95
2013-05-03,71.75
2013-05-06,70.7
2013-05-07,70.0
2013-05-08,69.9
2013-05-09,69.65
2013-05-10,70.0
2013-05-11,69.85
2013-05-13,69.65
2013-05-14,69.55
2013-05-15,69.7
2013-05-16,69.4
2013-05-17,69.4
2013-05-20,69.3
2013-05-21,69.35
2013-05-22,70.75
2013-05-23,70.65
2013-05-24,70.2
2013-05-27,69.9
2013-05-28,70.5
2013-05-29,70.2
2013-05-30,70.3
2013-05-31,68.1
2013-06-03,68.65
2013-06-04,69.1
2013-06-05,68.9
2013-06-06,68.9
2013-06-07,68.95
