Date,SIGNET
2015-03-13,122.0
2015-03-16,124.5
2015-03-17,114.3
2015-03-18,113.1
2015-03-19,119.5
2015-03-20,111.75
2015-03-23,108.0
2015-03-24,106.5
2015-03-25,111.0
2015-03-26,102.5
2015-03-27,104.0
2015-03-30,104.6
2015-03-31,104.5
2015-04-01,102.7
2015-04-06,103.3
2015-04-07,109.0
2015-04-08,110.0
2015-04-09,108.6
2015-04-10,110.0
2015-04-13,123.65
2015-04-15,127.15
2015-04-16,152.05
2015-04-17,165.45
2015-04-20,159.3
2015-04-21,158.2
2015-04-22,160.2
2015-04-23,158.1
2015-04-24,153.5
2015-04-27,144.0
2015-04-28,150.9
2015-04-29,152.0
2015-04-30,150.05
2015-05-04,160.65
2015-05-05,162.9
2015-05-06,160.95
2015-05-07,159.0
2015-05-08,158.0
2015-05-11,162.7
2015-05-12,159.85
2015-05-13,162.15
2015-05-14,166.9
2015-05-15,168.9
2015-05-18,173.85
2015-05-19,178.15
2015-05-20,195.6
2015-05-21,213.75
2015-05-22,211.1
2015-05-25,212.15
2015-05-26,203.85
2015-05-27,202.0
2015-05-28,203.25
2015-05-29,203.5
2015-06-01,202.3
2015-06-02,200.9
2015-06-03,198.05
2015-06-04,201.0
2015-06-05,213.25
2015-06-08,210.55
2015-06-09,211.95
2015-06-10,210.3
2015-06-11,210.75
2015-06-12,211.1
2015-06-15,215.85
2015-06-16,220.1
2015-06-17,218.9
2015-06-18,216.05
2015-06-19,211.1
2015-06-22,228.05
2015-06-23,246.55
2015-06-24,260.4
2015-06-25,255.45
2015-06-26,250.3
2015-06-29,252.85
2015-06-30,263.05
2015-07-01,287.0
2015-07-02,280.9
2015-07-03,293.85
2015-07-06,293.5
2015-07-07,290.9
2015-07-08,283.0
2015-07-09,287.6
2015-07-10,285.75
2015-07-13,281.4
2015-07-14,285.85
2015-07-15,274.9
2015-07-16,274.65
2015-07-17,309.15
2015-07-20,300.45
2015-07-21,307.35
2015-07-22,327.45
2015-07-23,332.45
2015-07-24,326.15
2015-07-27,324.25
2015-07-28,329.25
2015-07-29,319.95
2015-07-30,315.8
2015-07-31,320.05
2015-08-03,324.8
2015-08-04,325.05
2015-08-05,336.5
2015-08-06,336.35
2015-08-07,323.5
2015-08-10,337.1
2015-08-11,362.95
2015-08-12,382.35
2015-08-13,379.35
2015-08-14,379.85
2015-08-17,37.7
2015-08-18,42.75
2015-08-19,42.1
2015-08-20,38.7
2015-08-21,38.75
2015-08-24,36.65
2015-08-25,32.95
2015-08-26,33.7
2015-08-27,34.15
2015-08-28,36.7
2015-08-31,35.0
2015-09-01,32.4
2015-09-02,32.15
2015-09-03,33.4
2015-09-04,32.65
2015-09-07,31.5
2015-09-08,35.55
2015-09-09,35.0
2015-09-10,34.5
2015-09-11,34.4
2015-09-14,33.95
2015-09-15,34.25
2015-09-16,35.45
2015-09-18,35.5
2015-09-21,34.4
2015-09-22,34.45
2015-09-23,37.5
2015-09-24,38.0
2015-09-28,39.95
2015-09-29,38.9
2015-09-30,39.9
2015-10-01,39.5
2015-10-05,43.45
2015-10-06,42.7
2015-10-07,47.15
2015-10-08,45.3
2015-10-09,43.85
2015-10-12,43.3
2015-10-13,41.75
2015-10-14,41.25
2015-10-15,41.65
2015-10-16,41.75
2015-10-19,42.15
2015-10-20,41.95
2015-10-21,43.7
2015-10-23,44.6
2015-10-26,43.05
2015-10-27,42.9
2015-10-28,41.9
2015-10-29,41.8
2015-10-30,39.25
2015-11-02,39.15
2015-11-03,42.5
2015-11-04,46.65
2015-11-05,45.15
2015-11-06,44.55
2015-11-09,44.75
2015-11-10,41.35
2015-11-11,42.0
2015-11-13,41.35
2015-11-16,40.45
2015-11-17,43.8
2015-11-18,49.8
2015-11-19,48.9
2015-11-20,49.8
2015-11-23,51.65
2015-11-24,52.05
2015-11-26,53.05
2015-11-27,52.65
2015-11-30,53.15
2015-12-01,54.0
2015-12-02,54.95
2015-12-03,56.05
2015-12-04,57.2
2015-12-07,58.0
2015-12-08,58.45
2015-12-09,56.95
2015-12-10,58.1
2015-12-11,58.4
2015-12-14,58.8
2015-12-15,60.25
2015-12-16,58.9
2015-12-17,61.05
2015-12-18,63.2
2015-12-21,63.95
2015-12-22,64.0
2015-12-23,64.8
2015-12-24,64.5
2015-12-28,63.9
2015-12-29,62.95
2015-12-30,62.8
2015-12-31,62.85
