Date,SURYAROSNI
2013-01-01,75.85
2013-01-02,77.55
2013-01-03,77.7
2013-01-04,76.2
2013-01-07,78.1
2013-01-08,77.3
2013-01-09,77.0
2013-01-10,76.95
2013-01-11,76.2
2013-01-14,79.75
2013-01-15,79.4
2013-01-16,77.3
2013-01-17,77.45
2013-01-18,77.1
2013-01-21,76.55
2013-01-22,76.2
2013-01-23,74.6
2013-01-24,72.55
2013-01-25,73.55
2013-01-28,73.6
2013-01-29,73.5
2013-01-30,73.05
2013-01-31,73.25
2013-02-01,72.1
2013-02-04,73.5
2013-02-05,72.3
2013-02-06,82.2
2013-02-07,78.7
2013-02-08,76.75
2013-02-11,75.2
2013-02-12,75.95
2013-02-13,74.4
2013-02-14,72.75
2013-02-15,71.65
2013-02-18,74.05
2013-02-19,74.35
2013-02-20,74.5
2013-02-21,72.35
2013-02-22,73.4
2013-02-25,71.85
2013-02-26,69.7
2013-02-27,67.4
2013-02-28,67.9
2013-03-01,67.1
2013-03-04,64.7
2013-03-05,67.85
2013-03-06,71.6
2013-03-07,75.4
2013-03-08,77.0
2013-03-11,74.1
2013-03-12,74.75
2013-03-13,74.0
2013-03-14,74.25
2013-03-15,74.0
2013-03-18,74.75
2013-03-19,72.85
2013-03-20,69.9
2013-03-21,67.8
2013-03-22,68.45
2013-03-25,66.6
2013-03-26,65.55
2013-03-28,67.95
2013-04-01,75.95
2013-04-02,77.75
2013-04-03,78.7
2013-04-04,76.4
2013-04-05,76.35
2013-04-08,75.25
2013-04-09,74.15
2013-04-10,73.3
2013-04-11,74.2
2013-04-12,72.65
2013-04-15,73.0
2013-04-16,74.2
2013-04-17,74.25
2013-04-18,73.7
2013-04-22,73.8
2013-04-23,72.9
2013-04-25,75.25
2013-04-26,75.05
2013-04-29,74.3
2013-04-30,73.25
2013-05-02,72.9
2013-05-03,73.25
2013-05-06,73.55
2013-05-07,74.5
2013-05-08,76.5
2013-05-09,76.7
2013-05-10,76.5
2013-05-11,76.6
2013-05-13,76.8
2013-05-14,77.2
2013-05-15,76.95
2013-05-16,79.65
2013-05-17,79.8
2013-05-20,78.9
2013-05-21,76.9
2013-05-22,76.8
2013-05-23,73.95
2013-05-24,77.15
2013-05-27,79.2
2013-05-28,77.25
2013-05-29,78.75
2013-05-30,78.65
2013-05-31,77.4
2013-06-03,76.9
2013-06-04,75.6
2013-06-05,75.75
2013-06-06,75.25
2013-06-07,73.8
2013-06-10,73.7
2013-06-11,73.7
2013-06-12,72.0
2013-06-13,71.3
2013-06-14,71.75
2013-06-17,71.35
2013-06-18,72.1
2013-06-19,71.65
2013-06-20,69.15
2013-06-21,67.95
2013-06-24,66.15
2013-06-25,65.45
2013-06-26,66.7
2013-06-27,71.7
2013-06-28,73.85
2013-07-01,73.95
2013-07-02,73.05
2013-07-03,72.4
2013-07-04,71.5
2013-07-05,72.15
2013-07-08,71.85
2013-07-09,72.8
2013-07-10,71.65
2013-07-11,73.4
2013-07-12,72.15
2013-07-15,73.05
2013-07-16,71.3
2013-07-17,71.25
2013-07-18,70.9
2013-07-19,71.05
2013-07-22,70.5
2013-07-23,70.15
2013-07-24,71.35
2013-07-25,77.4
2013-07-26,75.0
2013-07-29,71.25
2013-07-30,69.15
2013-07-31,67.15
2013-08-01,68.9
2013-08-02,65.2
2013-08-05,67.3
2013-08-06,64.6
2013-08-07,63.8
2013-08-08,64.3
2013-08-12,65.45
2013-08-13,65.55
2013-08-14,66.7
2013-08-16,63.5
2013-08-19,61.7
2013-08-20,63.0
2013-08-21,63.7
2013-08-22,63.35
2013-08-23,63.15
2013-08-26,62.9
2013-08-27,61.55
2013-08-28,60.8
2013-08-29,60.8
2013-08-30,61.0
2013-09-02,61.05
2013-09-03,61.1
2013-09-04,63.0
2013-09-05,62.2
2013-09-06,63.3
2013-09-10,64.9
2013-09-11,64.8
2013-09-12,64.3
2013-09-13,66.35
2013-09-16,72.4
2013-09-17,72.95
2013-09-18,72.4
2013-09-19,74.0
2013-09-20,76.75
2013-09-23,76.9
2013-09-24,76.8
2013-09-25,76.65
2013-09-26,76.75
2013-09-27,75.85
2013-09-30,75.75
2013-10-01,75.1
2013-10-03,76.6
2013-10-04,75.95
2013-10-07,75.15
2013-10-08,75.2
2013-10-09,75.75
2013-10-10,75.25
2013-10-11,75.15
2013-10-14,77.05
2013-10-15,75.9
2013-10-17,76.3
2013-10-18,76.2
2013-10-21,76.25
2013-10-22,76.9
2013-10-23,75.8
2013-10-24,75.55
2013-10-25,75.8
2013-10-28,75.5
2013-10-29,75.3
2013-10-30,75.65
2013-10-31,75.5
2013-11-01,75.8
2013-11-03,76.05
2013-11-05,75.6
2013-11-06,75.85
2013-11-07,75.8
2013-11-08,74.9
2013-11-11,74.85
2013-11-12,80.7
2013-11-13,80.75
2013-11-14,79.75
2013-11-18,79.4
2013-11-19,78.85
2013-11-20,79.2
2013-11-21,77.8
2013-11-22,77.3
2013-11-25,76.35
2013-11-26,76.4
2013-11-27,78.9
2013-11-28,78.85
2013-11-29,78.1
2013-12-02,77.4
2013-12-03,77.05
2013-12-04,74.95
2013-12-05,75.25
2013-12-06,76.9
2013-12-09,77.6
2013-12-10,77.2
2013-12-11,75.15
2013-12-12,75.05
