Date,VINATIORGA
2013-01-01,160.85
2013-01-02,162.5
2013-01-03,153.4
2013-01-04,153.5
2013-01-07,153.65
2013-01-08,155.5
2013-01-09,154.6
2013-01-10,155.6
2013-01-11,152.25
2013-01-14,152.4
2013-01-15,153.0
2013-01-16,156.25
2013-01-17,155.5
2013-01-18,152.05
2013-01-21,151.9
2013-01-22,149.65
2013-01-23,151.15
2013-01-24,147.9
2013-01-25,149.75
2013-01-28,145.05
2013-01-29,146.15
2013-01-30,140.45
2013-01-31,137.0
2013-02-01,131.55
2013-02-04,124.0
2013-02-05,111.75
2013-02-06,117.1
2013-02-07,118.5
2013-02-08,116.25
2013-02-11,112.1
2013-02-12,113.85
2013-02-13,110.3
2013-02-14,105.4
2013-02-15,100.6
2013-02-18,102.55
2013-02-19,107.8
2013-02-20,107.15
2013-02-21,106.15
2013-02-22,103.45
2013-02-25,102.25
2013-02-26,101.25
2013-02-27,103.9
2013-02-28,101.5
2013-03-01,104.6
2013-03-04,102.15
2013-03-05,104.9
2013-03-06,104.0
2013-03-07,106.4
2013-03-08,106.55
2013-03-11,111.15
2013-03-12,113.85
2013-03-13,116.95
2013-03-14,116.15
2013-03-15,115.1
2013-03-18,111.75
2013-03-19,110.4
2013-03-20,110.65
2013-03-21,109.35
2013-03-22,110.15
2013-03-25,106.1
2013-03-26,101.05
2013-03-28,103.75
2013-04-01,102.0
2013-04-02,104.5
2013-04-03,105.35
2013-04-04,100.8
2013-04-05,102.15
2013-04-08,101.25
2013-04-09,101.7
2013-04-10,100.4
2013-04-11,99.7
2013-04-12,100.45
2013-04-15,98.9
2013-04-16,99.05
2013-04-17,98.9
2013-04-18,100.1
2013-04-22,100.2
2013-04-23,101.9
2013-04-25,103.5
2013-04-26,104.2
2013-04-29,105.5
2013-04-30,105.0
2013-05-02,109.55
2013-05-03,110.5
2013-05-06,111.05
2013-05-07,109.25
2013-05-08,118.9
2013-05-09,116.0
2013-05-10,112.55
2013-05-11,113.7
2013-05-13,110.25
2013-05-14,111.75
2013-05-15,115.0
2013-05-16,112.55
2013-05-17,109.7
2013-05-20,109.35
2013-05-21,110.5
2013-05-22,111.85
2013-05-23,109.25
2013-05-24,109.5
2013-05-27,109.0
2013-05-28,108.35
2013-05-29,107.25
2013-05-30,107.25
2013-05-31,106.05
2013-06-03,109.35
2013-06-04,108.35
2013-06-05,109.0
2013-06-06,111.0
2013-06-07,110.9
2013-06-10,110.15
2013-06-11,108.7
2013-06-12,109.85
2013-06-13,107.8
2013-06-14,108.05
2013-06-17,110.0
2013-06-18,107.5
2013-06-19,107.2
2013-06-20,106.7
2013-06-21,104.3
2013-06-24,103.45
2013-06-25,100.15
2013-06-26,100.15
2013-06-27,100.4
2013-06-28,101.7
2013-07-01,102.6
2013-07-02,102.25
2013-07-03,100.15
2013-07-04,99.25
2013-07-05,100.25
2013-07-08,99.65
2013-07-09,100.6
2013-07-10,99.35
2013-07-11,99.55
2013-07-12,100.55
2013-07-15,101.2
2013-07-16,111.4
2013-07-17,108.7
2013-07-18,106.0
2013-07-19,105.05
2013-07-22,102.95
2013-07-23,103.4
2013-07-24,100.5
2013-07-25,100.35
2013-07-26,99.45
2013-07-29,103.6
2013-07-30,98.1
2013-07-31,102.3
2013-08-01,100.8
2013-08-02,100.8
2013-08-05,98.0
2013-08-06,96.55
2013-08-07,95.15
2013-08-08,97.0
2013-08-12,96.5
2013-08-13,97.05
2013-08-14,97.5
2013-08-16,96.85
2013-08-19,96.65
2013-08-20,93.65
2013-08-21,92.7
2013-08-22,92.8
2013-08-23,93.95
2013-08-26,93.2
2013-08-27,91.35
2013-08-28,89.3
2013-08-29,87.1
2013-08-30,85.0
2013-09-02,88.35
2013-09-03,86.8
2013-09-04,87.25
2013-09-05,88.55
2013-09-06,89.8
2013-09-10,91.95
2013-09-11,95.55
2013-09-12,94.75
2013-09-13,95.2
2013-09-16,95.95
2013-09-17,94.2
2013-09-18,93.9
2013-09-19,93.1
2013-09-20,91.65
2013-09-23,92.1
2013-09-24,92.3
2013-09-25,95.55
2013-09-26,92.85
2013-09-27,93.5
2013-09-30,92.5
2013-10-01,92.7
2013-10-03,94.8
2013-10-04,93.3
2013-10-07,94.9
2013-10-08,96.6
2013-10-09,100.2
2013-10-10,100.15
2013-10-11,98.05
2013-10-14,100.7
2013-10-15,96.5
2013-10-17,97.5
2013-10-18,96.15
2013-10-21,97.1
2013-10-22,97.55
2013-10-23,98.1
2013-10-24,99.65
2013-10-25,100.5
2013-10-28,109.1
2013-10-29,108.25
2013-10-30,112.95
2013-10-31,111.3
2013-11-01,110.0
2013-11-03,115.75
2013-11-05,131.6
2013-11-06,132.65
2013-11-07,139.45
2013-11-08,149.9
2013-11-11,144.7
2013-11-12,137.6
2013-11-13,142.65
2013-11-14,153.25
2013-11-18,163.1
2013-11-19,166.6
2013-11-20,170.45
2013-11-21,170.95
2013-11-22,173.35
2013-11-25,171.95
2013-11-26,170.45
2013-11-27,170.8
2013-11-28,170.05
2013-11-29,170.2
2013-12-02,169.85
2013-12-03,170.15
2013-12-04,170.0
2013-12-05,168.45
2013-12-06,169.1
2013-12-09,169.05
2013-12-10,168.0
2013-12-11,170.1
2013-12-12,168.7
2013-12-13,169.9
2013-12-16,175.65
2013-12-17,176.15
2013-12-18,177.9
2013-12-19,190.7
2013-12-20,187.55
2013-12-23,189.7
2013-12-24,195.35
2013-12-26,200.35
2013-12-27,191.95
2013-12-30,186.5
2013-12-31,191.0
2014-01-01,190.7
2014-01-02,196.7
2014-01-03,194.65
2014-01-06,201.3
2014-01-07,209.95
2014-01-08,224.95
2014-01-09,223.45
2014-01-10,220.3
2014-01-13,219.35
2014-01-14,211.4
2014-01-15,211.6
2014-01-16,212.65
2014-01-17,216.1
2014-01-20,216.75
2014-01-21,217.85
2014-01-22,233.55
2014-01-23,237.15
2014-01-24,233.15
2014-01-27,222.05
2014-01-28,234.9
2014-01-29,231.25
2014-01-30,223.4
2014-01-31,222.95
2014-02-03,223.5
2014-02-04,222.75
2014-02-05,228.75
2014-02-06,230.5
2014-02-07,226.9
2014-02-10,221.0
2014-02-11,222.2
2014-02-12,216.8
2014-02-13,224.2
2014-02-14,235.7
2014-02-17,239.65
2014-02-18,232.85
2014-02-19,230.95
2014-02-20,227.15
2014-02-21,243.5
2014-02-24,240.1
2014-02-25,252.2
2014-02-26,262.9
2014-02-28,261.15
2014-03-03,259.85
2014-03-04,261.0
2014-03-05,276.85
2014-03-06,269.4
2014-03-07,265.4
2014-03-10,258.65
2014-03-11,262.95
2014-03-12,258.4
2014-03-13,270.9
2014-03-14,279.25
2014-03-18,273.9
2014-03-19,274.25
2014-03-20,271.75
2014-03-21,270.0
2014-03-22,270.25
2014-03-24,265.3
2014-03-25,258.35
2014-03-26,255.6
2014-03-27,263.9
2014-03-28,275.75
2014-03-31,281.05
2014-04-01,294.55
2014-04-02,293.25
2014-04-03,292.6
2014-04-04,290.1
2014-04-07,282.4
2014-04-09,272.35
2014-04-10,266.1
2014-04-11,266.35
2014-04-15,263.3
2014-04-16,258.0
2014-04-17,267.75
2014-04-21,266.55
2014-04-22,264.25
2014-04-23,269.95
2014-04-25,271.4
2014-04-28,275.2
2014-04-29,270.45
2014-04-30,266.4
2014-05-02,286.2
2014-05-05,297.6
2014-05-06,291.8
2014-05-07,288.85
2014-05-08,279.8
2014-05-09,294.05
2014-05-12,272.25
2014-05-13,276.55
2014-05-14,269.8
2014-05-15,268.85
2014-05-16,265.5
2014-05-19,274.1
2014-05-20,276.0
2014-05-21,279.9
2014-05-22,277.35
2014-05-23,275.65
2014-05-26,260.25
2014-05-27,269.0
2014-05-28,272.7
2014-05-29,272.5
2014-05-30,269.25
2014-06-02,261.4
2014-06-03,266.05
2014-06-04,264.9
2014-06-05,270.85
2014-06-06,299.25
2014-06-09,305.5
2014-06-10,299.6
2014-06-11,300.2
2014-06-12,299.85
2014-06-13,298.0
2014-06-16,301.05
2014-06-17,304.0
2014-06-18,326.25
2014-06-19,319.65
2014-06-20,311.75
2014-06-23,309.4
2014-06-24,312.5
2014-06-25,323.75
2014-06-26,325.9
2014-06-27,333.3
2014-06-30,330.5
2014-07-01,323.35
2014-07-02,325.2
2014-07-03,349.05
2014-07-04,341.45
2014-07-07,359.65
2014-07-08,342.65
2014-07-09,336.7
2014-07-10,339.5
2014-07-11,338.85
2014-07-14,328.4
2014-07-15,331.1
2014-07-16,334.1
2014-07-17,343.2
2014-07-18,340.45
2014-07-21,383.1
2014-07-22,366.5
2014-07-23,359.95
2014-07-24,381.45
2014-07-25,360.55
2014-07-28,359.8
2014-07-30,364.2
2014-07-31,348.7
2014-08-01,349.4
2014-08-04,369.25
2014-08-05,357.35
2014-08-06,354.4
2014-08-07,356.35
2014-08-08,365.65
2014-08-11,363.9
2014-08-12,376.4
2014-08-13,379.4
2014-08-14,382.0
2014-08-18,388.0
2014-08-19,401.1
2014-08-20,401.05
2014-08-21,403.4
2014-08-22,399.7
2014-08-25,401.9
2014-08-26,403.4
2014-08-27,396.2
2014-08-28,419.4
2014-09-01,420.4
2014-09-02,429.7
2014-09-03,429.35
2014-09-04,425.0
2014-09-05,421.6
2014-09-08,425.05
2014-09-09,451.3
2014-09-10,449.05
2014-09-11,451.95
2014-09-12,452.75
2014-09-15,452.1
2014-09-16,429.65
2014-09-17,433.7
2014-09-18,439.2
2014-09-19,450.3
2014-09-22,456.8
2014-09-23,439.15
2014-09-24,435.05
2014-09-25,428.35
2014-09-26,429.55
2014-09-29,421.7
2014-09-30,420.6
2014-10-01,419.8
2014-10-07,417.25
2014-10-08,414.65
2014-10-09,407.75
2014-10-10,405.2
2014-10-13,401.7
2014-10-14,397.95
2014-10-16,408.6
2014-10-17,415.0
2014-10-20,418.0
2014-10-21,424.25
2014-10-22,434.85
2014-10-23,437.9
2014-10-27,445.6
2014-10-28,449.7
2014-10-29,446.35
2014-10-30,438.85
2014-10-31,428.25
2014-11-03,426.55
2014-11-05,424.0
2014-11-07,422.05
2014-11-10,413.05
2014-11-11,410.85
2014-11-12,438.2
2014-11-13,433.65
2014-11-14,422.6
2014-11-17,426.95
2014-11-18,419.35
2014-11-19,416.3
2014-11-20,415.5
2014-11-21,421.05
2014-11-24,425.05
2014-11-25,405.75
2014-11-26,423.55
2014-11-27,424.95
2014-11-28,421.6
2014-12-01,422.3
2014-12-02,422.35
2014-12-03,425.45
2014-12-04,421.55
2014-12-05,424.95
2014-12-08,423.95
2014-12-09,419.15
2014-12-10,417.25
2014-12-11,422.5
2014-12-12,418.05
2014-12-15,414.6
2014-12-16,419.0
2014-12-17,421.0
2014-12-18,426.45
2014-12-19,424.8
2014-12-22,425.1
2014-12-23,435.7
2014-12-24,428.75
2014-12-26,426.1
2014-12-29,427.75
2014-12-30,424.9
2014-12-31,430.35
2015-01-01,480.45
2015-01-02,476.2
2015-01-05,465.65
2015-01-06,446.6
2015-01-07,448.9
2015-01-08,470.7
2015-01-09,467.4
2015-01-12,466.8
2015-01-13,457.5
2015-01-14,458.8
2015-01-15,457.65
2015-01-16,472.0
2015-01-19,505.2
2015-01-20,513.3
2015-01-21,509.3
2015-01-22,524.35
2015-01-23,523.95
2015-01-27,535.15
2015-01-28,530.65
2015-01-29,545.55
2015-01-30,542.3
2015-02-02,540.75
2015-02-03,537.6
2015-02-04,525.45
2015-02-05,528.75
2015-02-06,524.4
2015-02-09,520.2
2015-02-10,524.7
2015-02-11,531.6
2015-02-12,525.75
2015-02-13,527.1
2015-02-16,525.15
