Date,VSSL
2013-01-01,29.5
2013-01-02,30.0
2013-01-03,30.0
2013-01-04,29.85
2013-01-07,30.0
2013-01-08,29.85
2013-01-09,30.0
2013-01-10,30.0
2013-01-11,30.0
2013-01-14,29.25
2013-01-15,28.95
2013-01-16,28.25
2013-01-17,29.15
2013-01-18,28.6
2013-01-21,28.95
2013-01-22,29.45
2013-01-23,28.5
2013-01-24,29.25
2013-01-25,28.05
2013-01-28,28.35
2013-01-29,28.15
2013-01-30,27.6
2013-01-31,28.0
2013-02-01,27.5
2013-02-04,28.15
2013-02-05,27.55
2013-02-06,27.5
2013-02-07,27.4
2013-02-08,27.6
2013-02-11,27.0
2013-02-12,26.7
2013-02-13,27.4
2013-02-14,27.2
2013-02-15,27.05
2013-02-18,26.35
2013-02-19,28.0
2013-02-20,28.45
2013-02-21,26.55
2013-02-22,27.1
2013-02-25,27.5
2013-02-26,26.35
2013-02-27,25.85
2013-03-01,26.85
2013-03-04,25.1
2013-03-05,25.0
2013-03-06,26.5
2013-03-07,25.2
2013-03-08,25.1
2013-03-11,25.2
2013-03-12,24.95
2013-03-13,24.5
2013-03-14,23.3
2013-03-15,24.3
2013-03-18,24.25
2013-03-19,24.0
2013-03-20,22.85
2013-03-21,23.0
2013-03-22,22.3
2013-03-25,23.4
2013-03-26,22.8
2013-03-28,25.75
2013-04-01,26.0
2013-04-02,25.95
2013-04-03,24.5
2013-04-04,25.45
2013-04-05,23.25
2013-04-10,23.0
2013-04-15,22.0
2013-04-17,21.8
2013-04-22,21.95
2013-04-23,22.5
2013-04-25,23.5
2013-04-26,22.5
2013-04-30,23.0
2013-05-02,22.55
2013-05-03,21.5
2013-05-06,19.7
2013-05-07,21.5
2013-05-09,20.0
2013-05-10,20.0
2013-05-14,20.0
2013-05-15,20.0
2013-05-16,20.0
2013-05-17,20.0
2013-05-20,20.0
2013-05-21,20.0
2013-05-22,19.9
2013-05-23,18.4
2013-05-27,18.55
2013-05-28,20.0
2013-05-29,18.65
2013-05-30,19.95
2013-05-31,20.0
2013-06-04,20.0
2013-06-05,19.1
2013-06-06,20.0
2013-06-07,20.0
2013-06-10,19.1
2013-06-11,19.0
2013-06-12,19.0
2013-06-17,19.95
2013-06-20,19.9
2013-06-21,18.0
2013-06-24,19.75
2013-06-28,19.95
2013-07-02,16.8
2013-07-03,17.05
2013-07-05,17.9
2013-07-11,18.2
2013-07-12,17.35
2013-07-17,17.0
2013-07-18,16.5
2013-07-19,16.15
2013-07-22,15.45
2013-07-24,14.7
2013-07-26,14.5
2013-07-29,15.0
2013-07-30,15.0
2013-07-31,14.4
2013-08-02,13.95
2013-08-07,13.95
2013-08-12,13.3
2013-08-13,12.65
2013-08-14,12.5
2013-08-16,12.6
2013-08-19,12.5
2013-08-20,12.05
2013-08-22,12.65
2013-08-23,12.7
2013-08-26,12.6
2013-08-29,13.0
2013-08-30,13.35
2013-09-10,13.2
2013-09-11,13.85
2013-09-16,14.5
2013-09-17,15.2
2013-09-18,15.95
2013-09-19,16.7
2013-09-20,16.7
2013-09-23,16.7
2013-09-24,16.7
2013-09-25,16.1
2013-09-26,16.25
2013-09-27,16.0
2013-09-30,16.2
